review,translate,sentimen
Suara dan mic puas. Hanya saya pesan yg nyala dan sudah sy pastikan lg klik yg nyala tp yg datang ga nyala,"sound and mic satisfied. I only ordered the one that was on and I made sure that it clicked again, but the one that came didn't turn on",0
Good. Mudah-mudahan awet. Makasih ,good. hopefully durable. Thanks,1
"kondisi dus robek2, tolong di perhatikan lagi","the condition of the box is torn, please pay attention again",0
Kualitas produk baik. Harga terjangkau dan pengirimannya cepet banget. Udh 3x order disini oke lah tp sayangnya klo buat kado gabisa nitip pake kartu ucapan atau dibungkus pake kertas kado :(,"product quality is good. affordable prices and very fast delivery. I've already ordered here, it's okay, but unfortunately, if you make a gift, you can't bring it with a greeting card or wrap it in gift paper :(",0
"Overall bagus, tombol berfungsi semuanya, tapi packaging kurang karena sudah penyot dan robek sedikit","overall is good, the buttons all work, but the packaging is lacking because it's dented and torn a little",0
"Produk ini original, Dan kualitasnya sangat baik. kecepatan pengiriman sanagt cepat, recommended seller.","This product is original, and the quality is very good. Very fast delivery speed, recommended seller.",1
kualitas sangat jelek. bocor,very bad quality. leaking,0
"terimakasih banyak ka ya, barang sudah diterima dengan baik. sukses terus ka","Thank you very much, the goods have been well received. keep on being successful",1
"Body nya lebih berat dari cm 1579, spiral nya lebih tipis dibanding cm 1579, semoga awet, beli CM 1659 penasaran Aja, yang cm 1579 udah mau rusak mesin nya, Harga lebih murah 4k dari cm 1579 Fast delivery, courier Ramah sangat, ty seller","the body is heavier than cm , the spiral is thinner than cm , hope it lasts , buy cm just curious , the cm already wants to damage the engine , the price is cheaper k than cm fast delivery , very friendly courier , ty seller",0
pesanan di terima tanggal 27 January 2021 tetapi baru bisa saya buka pagi ini tanggal 29 January 2021 pukul 06.00 dan ternyata tab SKETSA ADVAN tidak bisa di nyalakan sama sekali dan di cas juga posisi Tab tidak bisa menyala,the order was received on january but i could only open it this morning on january at . and it turns out that the advan sketch tab can't be turned on at all and in charging also the position of the tab can't be turned on,0
sesuai gambar,according to the picture,1
Perlu ditingkatkan packagingnya..masak iya pake clear wrap aja..paling nggak kan dimasukin ke kantong plastik dulu lah baru di wrap..So far tidak ada keluhan untuk produknya..Harga bersaing👍🏻👌🏻,the packaging needs to be improved..just cook it with clear wrap..at least put it in a plastic bag first and then wrap it..so far no complaints about the product..competitive prices,0
"Barang bagus, hanya sepertinya tidak di cek dulu ya. Ada baut yg hilang 1 
Jadinya harus cari ke bengkel Pengiriman oleh kurir cepat banget","good stuff, it just doesn't seem like I checked it first. there are missing bolts so I have to look for the delivery shop by the courier, it's really fast",0
barang berfungsi dengan baik. kardus nya agak rusak dan penyok penyok akibat pengiriman mungkin padahal untuk dihadiahkan ke orang lain.,item works fine. the box was a bit damaged and dented as a result of shipping maybe even though it was meant to be given to someone else.,0
bagus bangett!!! Sukaaa 😆❤️,really good! Like,1
Pengiriman sangat cepat cuma 2 hari . barang berpungsi sangat baik . cuma packingnya aja yg kurang aman . untungnya semua barangnya gak ada yg cacat sedikitpun 👍🏻,very fast delivery just one day. very well functioning item. it's just the packing that's not safe. luckily none of the items were damaged at all,0
"mantap banget sih, cuman kayaknya buat main game agak kurang. karena aim accurate atau kursor nya agak goyang. kalo buat kerja atau sehari hari masih oke. jadi kalo mau gaming musti yang khusus untuk gaming. 

overall oke banget dan di tampilan kelihatan formal dibanding buat sehari hari sih ya. agak slim lebih enak (untuk sebagian orang mungkin). Makasih kak seller, ekspedisi, dan tokopedia!","it's really great, it just seems like it's a bit lacking for playing games. because the aim is accurate or the cursor is a bit wobbly. if for work or everyday it's still okay. so if you want gaming, it must be specifically for gaming. overall it's really good and in appearance it looks more formal than for everyday. rather slim is better (for some people maybe). Thank you sis seller, expedition, and tokopedia!",1
"Daya tidak sesuai dengan deskripsi, dideskripsi tertulis 300W tapi barang tertulis 400W, krn saya tidak drmh Baru buka paketan setelah -+ semingguan barang diterima. Jd saya kecewa.
NB :
deskripsi &amp; spec.barang yang dijual harusnya  sama agar tidak membuat customer kecewa, fotonya jg perlu diperbarui karena tidak sama (mohon perhatikan sarannya untuk perbaikan Toko bukan cm bisa mencela customer) 😊","the power does not match the description, the description says w but the item says w, because I didn't come back and just opened the package after - + a week the goods were received. so I'm disappointed. nb: description & spec. the items sold should be the same so as not to disappoint the customer, the photos also need to be updated because they are not the same (please pay attention to the suggestions for shop improvements not cm can reproach the customer)",0
Ad sompel di dlm panciny.😥,ad somple in the fishing rod.,1
"Keren dah mantap ,kirain besar ternyata kecil tp gapapa barang ok","it's cool, it's great, I thought it was big, it turned out to be small, but it's okay, it's ok",1
"Gambar di mousepadny kurang rapih, klo ori gk mungkin begini sih. Tapi kualitas sm buat dipake oke 👍","the picture on the mousepad is not neat, if it's original it's not like this. but the quality of sm for use is okay",0
tombolnya susah kemna pengembalianya,the button is difficult to return to,0
"masyaallah barang bagus, proses ke pengiriman lama, recommended seller","masyaallah good item, process to long delivery, recommended seller",0
Barang original pengiriman cepat aman,original item fast safe delivery,1
baru dipake sehari. udah gabisa. karena besi tempat baterainya lepas,only used one day. already done. because the iron where the battery is loose,0
