Reviewer,Rating,Date,Review
Henry Chandra,1,12/27/2024 7:36,Jelek gak bisa dipakai
Mirza Azfar Faiz,2,12/24/2024 13:03,Pesen ngk ada driver
simon marcel,5,12/22/2024 10:15,easy
Kenny farah Sapulete,5,12/18/2024 10:52,Good
Bayu Aji Anjasmara,5,12/16/2024 4:04,nice UI & convenience app
Budi ROYALE Petz,5,12/11/2024 4:20,good tastes
Alif noer Rahman Y,1,12/7/2024 12:10,Semakin tinggi harga + Semakin berkurang potongan harga = Semakin berkurang peminat = Semakin Banyak TOKO tutup. Gak seperti dulu Yang famous dengan promo gila gilaan Dan Rasa nikmatnya Yang mampu mengalahkan tetangga M atau lainnya. Sekarang jadi terbalik
KL22-042-Alfred Richard Fu,5,12/1/2024 8:17,Good promo I like
hersianto halim,5,11/27/2024 13:21,good
Miguel Angel Fajardo (Mike),2,11/24/2024 6:05,Please check it. It os very very slow.
Annisa Rauf,5,11/23/2024 11:44,enk
Flareya Cryscell,5,11/18/2024 3:51,ok
Nuswardana Sarodja,5,11/17/2024 8:06,nice service
teppo colorsgroup,5,11/13/2024 5:41,masih mahal
Richie Alexander,1,11/9/2024 3:45,Cant even login using my account
BCS,1,11/3/2024 8:16,"mau pakai promo dari ig, katanya ""tunjukan kupon ini ke kasir"" tapi dipaksa pake aplikasi, merepotkan"
yufi ariftiyo sidi,1,10/24/2024 4:09,"Login dan register form pake nomer handphone, forgot password minta input email.... email ga terdaftar. Wrong flow. Updated Oktober 2024, dan masih belum di fix. Wow sekali buat brand sekelas Burger King masalah kaya gini ga di fix, juga dari vendor app nya bisa bisanya ada flow yg broken kaya gini bisa lolos"
mr.vito javier,5,10/20/2024 4:06,great...
Brian Yosef,1,10/19/2024 6:19,Penipu
Agusta Ariyoshi,1,10/16/2024 9:26,"Stupid app, cant log in"
Kyourinrin,1,10/10/2024 10:42,"I can't login, there's no such thing as password and email back then and you just use mobile number. Now I can't login because I don't have any password, and I can't reset password because there's no email linked to my account. To make it worst, I can't use my phone number to make another account, so I'm stuck unless I have another number"
margareta windartari,4,10/5/2024 14:33,"The new menu Spicy chicken is good taste, but it's very small, when I buy it I always want to breast chicken is big, and I always get it, but today I'm not get it, but it's okay, maybe tomorrow. But all of them is good 👍, recommend for breakfast, lunch or dinner with good price�."
Moon Hutagaol,4,10/5/2024 13:35,good service & alot discount
--,1,10/1/2024 12:22,bisa gak kl take away gak usa plus HARUS BELI Totebag nya??? Bikin PILIHAN KEK MAU PAKE TOTE BAG ATAU GAK..
RIN DUMAYANI,1,9/27/2024 14:24,Payah. Area order harvest city bekasi belum mencakup. Hweh
Hindra,5,9/23/2024 23:19,"Good taste and price. This apps helps me to get updates on new promo, discount and menu"
Infinity Chanel,1,9/22/2024 5:41,didnt work
Ade Iskandar,3,9/19/2024 5:52,Tidak bisa buat order online. Hang terus saat checkout.
do manea,1,9/17/2024 11:18,Too much updateee
Lili DP,4,9/15/2024 6:04,no info for address of the receiver for delivery services
Julia Perawaningrum,1,9/8/2024 13:42,Kasir nya rata2 jutek / cemberut apalagi tau kalo dah download apk.nya dah gitu harga ga jelas gitu padahal pakai BCA mestinya Disc sampai 31 Jan 2025 min pembelian 70k tapi katanya ga disc yaaa.. mending uninstall aja.kapok!!!
Adri Pradipta,1,9/8/2024 13:33,"Banyak promo di app, tapi app nya unusable. Setiap check out stuck di loading. Kupon hampir ga pernah bisa di apply waktu check out."
Jayden Kartjito,1,9/8/2024 9:35,Trash app
amri a rochman,5,9/4/2024 3:44,"mantap, enak dan banyak promo murahnya"
Tjiong Soei Leng 3e6035,5,9/1/2024 2:10,burger king enak
sanrio novan,5,8/30/2024 11:59,keren mantap
Reza Fahnugroho,5,8/27/2024 10:47,good apps helpfull
Erwin Junaedi,5,8/25/2024 6:10,tolong banyakin qr code nya
Juli Kurniawati,1,8/20/2024 9:59,"Pesanan saya dicancel oleh pihak BK dikarenakan TIDAK ADA DRIVER. Tidak ada permohonan maaf ataupun konfirmasi apapun dari pihak BK dari tanggal 1 April 2024 sampai hari ini 20 Agustus 2024. Dan yg paling epic, DANA SAYA TIDAK DIKEMBALIKAN. "
M Farras Mutawakkil,1,8/15/2024 13:20,"Can't login due to password forget. The app can't reset the password, even after change password by email. Sucks"
Utama DJ,2,8/15/2024 11:37,Ini aplikasi lucu...lupa password jadi masalah ketika email yg didaftarkan tidak bisa digunakan lagi. Kenapa nggak kirim konfirmasi ke nomer HP aja sih? Terpaksa delete app gini ceritanya
Eka Safira,4,8/11/2024 11:09,Order pakai aplikasi tidak bisa bayar di tempat :(
Sesylia Yusdiyanto (Cecile Cyo),5,8/4/2024 13:09,Definitely you're the king of burger. Always hangout here twice a week.
Dennis Setiawan,1,8/3/2024 17:18,"Apaan ini. Mau pesen dr jam 11.30 malam blg nya baru bisa jam 12 oke ditunggu, udh 12 bilang 12.15 , 12.30 watde. Ini online malah balik jaman purba. Yg bikin sop dan mekanisme ky gini pecat aja udah buang"" duit doang. Gaada org waras bikin mekanisme kaya gini. Udh dev nya kasih ke anak smk kelar gua jamin. Ga ada yg bikin sistem kaya gini bos. Sekelas enterprise bk franchise kaya gini? Have a little common sense please. Kalo ga ada budget di opensource aja lah sini dikerjain bentar beres."
Rony Anwar,5,8/1/2024 13:41,it's been always good
Ferdi Fadillah,1,7/31/2024 23:44,Cannot use coupon in app. The menu is not in chart. Fix this bug. This is totally irritating and wasting my time.
Minerva 99,5,7/21/2024 10:25,Great app with cool rewards
Nickholas Sebastian,5,7/18/2024 11:43,good
suhandi suhandi,5,7/13/2024 2:59,good
Sapto Tri,1,7/12/2024 15:30,"very bad, request email for registration"
mikael lie,1,7/9/2024 1:05,"order tidak dikriim2 dan dibatalkan tapi sudah 2 hari refund tidak ditransfer2, tidak ada itikad baik utk menelpon ataupun kontek customer duluan. parah BK. kecewa saya"
Dwi Setyorini,1,7/7/2024 7:07,"Makin kesini makin dissapointed dengan services BK, secara punya aplikasi tapi ga ada driver delivery sendiri, lu nebeng online lain tapi kasih harga delivery murce, ya ga ada yang mau pick up, customer yg ribet ending-nya. Dimana2 namanya buka aplikasi ya at least punya driver delivery sendiri lah.. Buset!"
Natasia Suciati,5,7/5/2024 13:22,Wow
M.Arief Resdwinanto,5,7/4/2024 11:03,Great
Hanshen Jordan,1,7/1/2024 13:21,"Pesanan deliverynya pakai gosend. Suram, driver cancel 3x. Order yang terlanjur gak bisa cancel. Akhirnya mesti tunggu 2 jam baru nyampe, baru bisa makan. Tau gini mending beli langsung pakai Gofood. App BK harga 98k pesanan sama ternyata di Gofood harga 80k doang"
Annette,5,6/26/2024 10:51,Sangat Bagus
Cenia kim,5,6/25/2024 8:19,Quick service...comfortable place
Vinny Cole,4,6/23/2024 8:35,"Try this app, it's quite useful to be frequent buyers of the products since it earn points that can be redeem for rewards. Then this problem occurred when got birthday voucher promo that requires to do transaction within the app, chose to pay with gpay but couldn't proceed. Turn out that it needs to have gjek app installed even gpay & gjek are two separate app (I don't use gjek instead only use gpay) Burger King's IT dept needs to solve this matter for ease payment experience"
Retha S,5,6/23/2024 2:05,sediain minuman yg zero dong
Tan Danny Sutanto,5,6/22/2024 9:03,great
Timo Tampubolon,5,6/16/2024 13:19,bagus
Adhitya Virtus,1,6/16/2024 2:44,"This app must be designed by monkeys! If a menu is not available, MAYBE DON'T MAKE IS SELECTABLE?? The app just show ""the menu isn't available"" without showing which one and expect the customer to guess which one is, out of the long list of selected menu."
lucky ardana,5,6/10/2024 8:02,Best
Jeevallucas Gautama,1,6/9/2024 13:27,"The Burger King app generally works well, but the note section for orders is limited to 15 characters. This is insufficient for conveying detailed instructions, like requesting extra condiments or specific customizations. Clear communication is crucial for customer satisfaction, and this limitation often leads to inaccuracies. I urge the developers to expand the character limit for order notes to improve the app's usability and meet customer needs more effectively."
totok ispriyanto,5,6/9/2024 3:08,top
Siti Alifah0274,5,6/8/2024 14:27,selalu suka menu burger king.. apalagi yang paket anak2.. mainannya keren2
Fajar Supriono,1,6/6/2024 11:43,"Masih eror. Sudah update, install, uninstall, lokasi ga ter-detect. Brp kali baru ter detect. Pas mau bayar, eh ga bisa nyambung ke Dana. Padahal Dana udah buat bayar lain2, aman."
Faisal Yulyanto,1,6/1/2024 10:46,nice burger but not the money
