title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,originalLanguage,publishAt,rating,reviewId,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,translatedLanguage,visitedIn
Amanaia Menteng,5,,2026-05-14T00:48:34.166Z,0,,9,true,,,,1 jam lalu,,Ci9DQUlRQUNvZENodHljRjlvT2kxMWJYbzJlblZ3V0ZWalJWaHdjVzFTTFc1c1psRRAB,Google,,,,,,,
Amanaia Menteng,5,The place is nice and clean. The foods are great. Very recommended!,2026-05-13T14:08:30.051Z,0,,0,false,,,en,12 jam lalu,,Ci9DQUlRQUNvZENodHljRjlvT214WU16aDJUblp2YW5vMVV6UllhMWxMVkdWSFRYYxAB,Google,,,,,Tempatnya bagus dan bersih. Makanannya enak. Sangat direkomendasikan!,id,
Amanaia Menteng,5,"Good Place

Pertahankan Kualitas",2026-05-13T13:13:45.123Z,0,,6,false,,,id,12 jam lalu,,Ci9DQUlRQUNvZENodHljRjlvT2tGcmIxSndOMUJxTFZkZlRuaGxVakV5UjFGYWRVRRAB,Google,,,,,,,
Amanaia Menteng,5,,2026-05-13T07:36:48.501Z,0,,4,false,,,,18 jam lalu,,Ci9DQUlRQUNvZENodHljRjlvT21obVlWOU9UakZVZWw5T1NUUTNhRlJIZG5aRGIwRRAB,Google,,,,,,,
Amanaia Menteng,5,"Makanannya enak, vibesnya juga enak, trus kalo mau buat private event juga bisa karena dia ada ruangan2nya.",2026-05-13T00:07:49.775Z,0,,29,true,,,id,1 hari lalu,,Ci9DQUlRQUNvZENodHljRjlvT2xoemFXMVVabkl4U1hwMVREWnBVMFUyUTJOTlJVRRAB,Google,,,,,,,
Amanaia Menteng,5,,2026-05-12T14:12:15.750Z,0,,5,false,,,,1 hari lalu,,Ci9DQUlRQUNvZENodHljRjlvT2tKMVJUZDFNVFExUkVKd0xXSnFjMlo1ZDNsUFYzYxAB,Google,,,,,,,
Amanaia Menteng,5,,2026-05-12T13:48:21.105Z,0,,17,true,,,,1 hari lalu,,Ci9DQUlRQUNvZENodHljRjlvT2pCd2QyVjNjQzEzWmsxNGFHcG9iR3haYkV3d1NHYxAB,Google,,,,,,,
Amanaia Menteng,5,,2026-05-12T13:41:55.467Z,0,,2,false,,,,1 hari lalu,,Ci9DQUlRQUNvZENodHljRjlvT2xkS2JUVjRRMUI0T1U1SkxXc3lWVWR5YUhwaWVXYxAB,Google,,,,,,,
Amanaia Menteng,5,"Semua makanan nya enak, pelayanannya baik, tempatnya juga bagus",2026-05-12T12:16:28.645Z,0,,14,true,,,id,1 hari lalu,,Ci9DQUlRQUNvZENodHljRjlvT2xsM2FXMURPWE5KUTFKVlVFbE5ZMWhJZVhwRWIwRRAB,Google,,,,,,,
Amanaia Menteng,5,,2026-05-12T12:09:07.149Z,0,,1,false,,,,1 hari lalu,,Ci9DQUlRQUNvZENodHljRjlvT21waVJUQmFOWGhzY0ZkT1IwRlJiMGRIYzNBd1JFRRAB,Google,,,,,,,
