"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","ulsn","w8nwRe","dSlJg","Hzvxle","pkWtMe","dSlJg 2","NlVald","NlVald 2"
"https://lh3.googleusercontent.com/a/ACg8ocJooz56fC6oHdGJYOxt8j6ojwogDQyUGKTgmImLB3rWGy2lKA=w45-h45-p-rp-mo-ba6-br100","Happy Jalan & Makan","Local Guide · 385 ulasan · 3.208 foto","","","3 bulan lalu","Suka lewat depannya, tapi baru ini berkesempatan mampir.

Dimulai pas datang, kirain tempat parkirnya kecil banget, ternyata ada lahan …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjUaMVcAJoPW52j_gnZf2xk-HxZuxBddl273rICD7rxti2X6gWLm=w45-h45-p-rp-mo-ba6-br100","Bobby Adi Hutama","Local Guide · 251 ulasan · 974 foto","","","3 bulan lalu","Ekspektasi makan di tempatnya Chef Widhi pasti tinggi, tapi pengalaman kali ini rasanya ""campur aduk"". Poin plus terbesarnya ada di pelayanan (service) yang oke banget. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjU07pd_fPOjyt3ydIR4HfhjrRgkGy7j5mJtX1hTQLPhoy6PPaKo=w45-h45-p-rp-mo-ba5-br100","Ayunda Budisetia","Local Guide · 126 ulasan · 420 foto","","","3 bulan lalu","Bisa claim birthday treat di hanya di hari H ultah dengan min order 100k dapat steak dan kue
Harga dan menu makanan serta minumannya variatif. Porsi pas dan banyak, enak dan …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a/ACg8ocKCnpG4sR00YxnTEKnKd9ftiqxi72NHWgSYf-tNzEHxb6VKOQ=w45-h45-p-rp-mo-ba2-br100","Karina Aulia R","Local Guide · 6 ulasan · 19 foto","","","2 bulan lalu","makanannya enak2, cuman yg sirloin emg agak sedikit keras dan susah dikunyah karena banyak lemak nya. service nya OK bgt.","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVyadFDQt0-5FDpnqPECzJ4caHiYMPbcBkHoPrPs-qP0KTr3WuA=w45-h45-p-rp-mo-ba4-br100","dwi setyo effendianto","Local Guide · 29 ulasan · 295 foto","","","5 bulan lalu","Salah satu Steak terbaik di Bekasi, lokasinya sudah pindah dan tidak jauh dari tempat awal hanya seberangnya saja dan tempatnya juga lebih baik dan luas dari sebelumnya. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a/ACg8ocLM8AIi070GIEuK8W52OK_wq_vjxuv548_TnPF00a8jJYgofg=w45-h45-p-rp-mo-ba6-br100","Elvita Yuli","Local Guide · 212 ulasan · 2.869 foto","","","6 bulan lalu","Sudah ter-sertifikasi halal. Eksis di Bekasi sejak tahun 2013. Juga ada cabang di Bintaro dan Yogya. Cabang Bekasi ini selalu ramai, sering kali kalau mau makan di sini, gak jadi, krn susah parkir. Baik weekend or weekdays selalu ramai ya …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjW4hAz_6041BcLrcLB5XMEImmCdCa4PRk1Yq7MjfwPEbWHB5S08wA=w45-h45-p-rp-mo-ba4-br100","Calvin","Local Guide · 120 ulasan · 136 foto","","","2 bulan lalu","great hospitality, food, and ambience

saya pesan yang Australian premium beef rib eye, ini di medium tingkat matangnya …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXQABeGaCKRWD6RPdtpiMgqHgeiEqzTLPbRGmpkcuXwDj8vnt_D=w45-h45-p-rp-mo-ba6-br100","Rasi Bintang","Local Guide · 322 ulasan · 2.412 foto","","","Diedit 8 bulan lalu","Di ajak teman makan disini, dia bilang enak. Pas sampe kami di sambut dengan ramah oleh stafnya, diantar langsung kemeja, kemudian di bawakan buku menu. Staf mampu menjelaskan menu dengan baik. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXcVexg-NeQTBDGBkuulNqvFlE_ooddICafoOzR-VSiiFWp0W1P=w45-h45-p-rp-mo-ba5-br100","bhaskoro pratama","Local Guide · 269 ulasan · 889 foto","","","3 bulan lalu","Tempat yang rekomen dah untuk makan steak. Rasanya enak, harga udah menengah ya keatas deh, tapi sesuai lah. Rame beduh, klo lagi rame waiting list begitu, tapi waiting list nya on the spot, jika terlewat maka harus daftar ulang lagi buat …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXXTvTwTcPy92Ue8MLZVRL0mv_6fVAVkLVQrF2qJSrfk0AcOFIMRg=w45-h45-p-rp-mo-ba2-br100","Yona Lotusia Pradana","Local Guide · 11 ulasan · 11 foto","","","3 bulan lalu","Hai Warga Bekasi 🤗
Fix wajib coba!
Udah bolak-balik ke sini dan nggak pernah gagal : steak, burger, mac n cheese semuanya juara 🍔🥩🔥 …","Lainnya","","","","","Bagikan","Suka"
