app_name,app_id,review_id,user_name,review_text,rating,review_date,thumbs_up_count,matched_keywords
Gojek / Gofood,com.gojek.app,4334b209-c3be-4252-a4d1-e2272eb7629e,Ikka Chibuy,sangat membantu jika lagi laper pesen di gofood👍,5,2026-05-30 22:03:26,0,gofood
Gojek / Gofood,com.gojek.app,fe991467-5913-4fba-9db7-b2c999ee35c8,Willy Wisanggeni,makanan selisih 7.000 dari harga aslinya belum lagi ada tambahan biaya penangan dan pengiriman. jika harga asli di toko ofline 21.000 di aplikasi i 28.000 di tambah biaya penangan dan pengiriman total ketemu 40 lebih,1,2026-05-30 21:34:22,0,makanan
Gojek / Gofood,com.gojek.app,3e644325-b12f-4998-8a3d-ff22e847ca1e,Initial - D,"sebelum beli langganan plus,biaya ongkir gofood sangat murah,setelah beli langganan plus,ongkir jadi super mahal hanya dapat gimik diskon dan promo",1,2026-05-30 14:32:46,0,gofood
Gojek / Gofood,com.gojek.app,11ba0b63-f6e9-45fa-b459-03d8af1354c1,okta andreas,"Makanan tidak saya terima , tp katanya sudah di antar. complain ke cs tidak ada hasil",1,2026-05-30 11:41:22,3,makanan
Gojek / Gofood,com.gojek.app,92e0a28b-5dac-4f8e-ada4-ca8a6cda1bd4,Angga Yulianto,resto sudah tutup tapi orderan belum di cancel juga,1,2026-05-29 23:38:08,0,resto
Gojek / Gofood,com.gojek.app,72604f68-b86c-4f1c-a7b0-eb616f82fc86,Fitra Alfarizi,"APLIKASI BGNIAN APLIKASI MONYET... GUA PESAN MARTABAK 2 YANG DIKIRIM 1,, GUA BINGUNG NEH NYARI KESALAHAN DMANA,, DRIVER GA BSA DI CHAT (UDAH KABUR) ,,RESTO GA BISA DI CHAT LANGSUNG,,, MONYET......",1,2026-05-29 22:59:32,0,resto
Gojek / Gofood,com.gojek.app,1bd5a6dd-18a0-4285-9b33-86a0dec37bf0,Dinoyo Store,Hapus GOFOOD jarak dekat,1,2026-05-29 22:34:08,0,gofood
Gojek / Gofood,com.gojek.app,ae6e747b-d3e2-4ca0-971c-0ce84c1ad05e,Annisa Tsam,"ini parah banget sih, pesanan udah 3 jam gak sampai-sampai katanya terlambat 5-15 menit tapi ditunggu berjam jam gak ada. coba ajuin complain yang jawab malah AI, ckckck. kapok beli makanan disini. gak lagi deh",1,2026-05-29 21:09:40,1,makanan
Gojek / Gofood,com.gojek.app,0cceb63c-56c7-46ef-9dcd-ce21e5029df5,Achmad J. Fajri,"Mungkin saran aja, untuk filter pencarian gofood sebaiknya ditambah filter lokasi jarak kedai terdekat sampai terjauh, gak cuman filter rentang harga aja.",5,2026-05-29 20:07:56,2,"gofood, kedai"
Gojek / Gofood,com.gojek.app,f07c12c9-d569-42c1-a15f-2df54acc7690,Angga Rudi,"untul gofood pengiriman sering kali terlambat krna driver dpt double order,makanan sudah dingin ,nungu hampir 1 jam lebih..., untuk saya sudah 3x sperti itu..! saran saya mending pake grab..,baik itu gofood/gocar ny, pelayanan ny lebih baik",1,2026-05-29 13:21:18,1,"gofood, makanan"
