app_name,app_id,review_id,user_name,review_text,rating,review_date,thumbs_up_count,matched_keywords
Gojek / Gofood netral,com.gojek.app,dbed353b-a83c-4c06-8dfc-e9263ba47fef,I Wayan Agus Wijaya,"rating dan ulasannya resto di gofood cuma terlihat dari customer aja, yang dari driver tidak terlihat, kan pengen tau juga bagaimana resto memperlakukan driver bagaimana",3,2026-05-29 07:40:26,1,"gofood, resto"
Gojek / Gofood netral,com.gojek.app,6000690d-d1ee-4cca-9330-be9767dbb386,Augy Wardha Maulana,"Aplikasinya sangat membantu untuk transportasi, pesan makanan, dan kebutuhan harian 😄 Fitur lengkap dan ekosistemnya luas. Namun kadang harga naik turun tidak konsisten, dan beberapa layanan juga bisa terasa mahal di jam tertentu. User experience masih oke, tapi bisa lebih stabil dan transparan lagi 👍",3,2026-05-28 15:09:23,1,makanan
Gojek / Gofood netral,com.gojek.app,22b3479d-7f4f-41a5-b489-242216a076fb,Vine Wool,aplikasinya bagus minimal diperbaikin min kayak misalnya beli makanan pas udah pembayaran untuk beli makanan terus makanan di proses tapi belum sama sekali dapat driver sampe 5 menit mending langsung dibatalin min jangan harus tunggu sampai 1 jam lebih keburu mati kelaparan,3,2026-05-27 18:45:33,1,makanan
Gojek / Gofood netral,com.gojek.app,344f5daf-19ca-4de9-93c2-25753a56927d,nana Kristina,"Aplikasi nya lama bikin sebel udh aktifkan fitur gofood exspress malah datang nya telat trs udh berkali kali kek gini bikin males, driver nya juga nolak Mulu kalo GK nolak diterima tapi GK jalan tambah bikin males hadee mohon dibenerin dong gojek",3,2026-05-27 11:39:57,1,gofood
Gojek / Gofood netral,com.gojek.app,52e0af9a-e4e2-4cb1-8d1c-b74fa664ba8a,Azalea Latisha,"apaan pesen gofood udh 1 jam blm dapet driver, di suru batalin yudh ku batalin trs pesen lagi tetep ga dpt alhasil nunggu 1 jam an lgi kgk dapet apa²... di kira org ga laper apa :( lain kli siapin dulu drivernya baru siapin makanannya",3,2026-05-26 19:19:18,1,"gofood, makanannya"
Gojek / Gofood netral,com.gojek.app,cae43f76-2c05-4d48-a27f-34b1fbd1bbfe,MUHAMMAD ZAHIR ALI ZAHIR,"sistem navigasinya kurang bagus, dari sekian banyaknya gojek, mengapa saat saya yang pesan tidak dapat2. trs kenapa jobnya yang gofood itu dibedakan dengan jobnya gojek?? kan kalo sama2 gojek artinya masih bisa dong untuk saling bantu. apakah karna tipnya kurang banyak?? inti dari ini saya hanya mau bilang kalo navigasinya tolong ditingkatkan lagi. terimakasih",3,2026-05-26 17:57:32,1,gofood
Gojek / Gofood netral,com.gojek.app,3e70ba64-7d41-4b44-b5a9-671878c183ad,Fadli Iskandar,"ulasan ku yang dari tahun-tahun lalu bintang 5 sekarang jadi update turun ke bintang 3 , dari banyak nya pesanan ku selalu dapet driver baik, tetapi baru pertama kali minggu ini dapat driver kurang berkenan (tidak baik) , intimidasi customer dari awal di resto saja chat driver sudah beda sendiri, belum juga jalan ke titik pengantaran udah banyak pesan² tidak baik, tolong kalau ada orang depresi masalah pribadi jangan di bawa ke tempat kerja, profesional kode etik harusnya driver paham.",3,2026-05-25 01:13:39,1,resto
Gojek / Gofood netral,com.gojek.app,49812eac-c34b-421b-bcc7-7e1331d88b50,Chilary Sasclarissa Ogi,"kalo keluar kota gojeknya ga bisa buat pesan makan, jln dll",3,2026-05-24 18:23:31,1,pesan makan
Gojek / Gofood netral,com.gojek.app,67929e0b-002d-4726-a2a9-cac95c740402,Dilani Ratnalia,"Makin kesini makin lambat responnya, pesen go food ampe 2x cancel nunggu 2jam 😩😩😩",3,2026-05-24 09:07:43,1,go food
Gojek / Gofood netral,com.gojek.app,fe2fe556-9afb-47cf-8258-12b7f3ee54de,Pengguna Google,Kalau pesan makanan kenapa enggak bisa kirim gambar dari galeri foto ya buat nunjukin ke driver,3,2026-05-21 20:10:03,7,makanan
Gojek / Gofood netral,com.gojek.app,d8f43a1c-f110-409d-aad3-ca0320a2dcdb,Fafa Ganteng,makanan lengkap hanya biaya pengiriman terlalu mahal harap bisa di turunkan ya,3,2026-05-20 20:57:44,1,makanan
Gojek / Gofood netral,com.gojek.app,4e1569c2-01b5-40a7-b4c6-413fbb6b9db1,cipscipcup,gojek tolong lemot banget kenapa ya??? aplg pas buka gofood,3,2026-05-17 20:58:53,1,gofood
Gojek / Gofood netral,com.gojek.app,fc00c457-3102-42de-8d90-c2688d2ae9eb,Vin Da,"malas skarang pakai gojek....apa"" nya lambat betul....pesan driver lambat,pesan gofood lambat...mending pakai apk sebelah aja lebih sat set....",3,2026-05-16 15:33:12,1,gofood
Gojek / Gofood netral,com.gojek.app,ee8b0638-4a02-481a-a2a3-ec0cea7297ab,Anggia Nurul Iftitah,"sumpah kacaw banget skarang gojek, susah banget buat nyari driver, di tolak mulu, udah nunggu 30 menit malah di batalin. begitu juga kalau mesen makanan ga ada yg mau nganterin, coba perbaiki lagi dong pelayanannya, padahal dulu aku selalu lebih milih pesen di gojek di banding yang sebelah.. sekarang jadi males mesen mesen di gojek. kecewa berat.",3,2026-05-14 19:35:53,1,makanan
Gojek / Gofood netral,com.gojek.app,59a992ae-9dbf-44b1-9c2c-48687799fdbc,Sabita Nindia,"driver yg nganter makanan sering banget udh dikasih tip tiba"" ngga jadi dia yg nganter parahh, tolong diperbaiki sikap nya",3,2026-05-10 16:29:01,1,makanan
Gojek / Gofood netral,com.gojek.app,701fd80b-1539-4dcd-9b4e-1b9b25e2d2f9,Fubuki Chan,"Tolong Untuk Pihak Developer. Agar diberi batasan untuk para driver nya yang sering nge cancel orderan. diberi batasan 1-2x sehari, Atau 3x dalam seminggu. agar tidak Menunggu terlalu lama pada saat Order GOSEND / Gofood",3,2026-05-09 16:58:31,0,gofood
Gojek / Gofood netral,com.gojek.app,87c3820f-1a54-4b59-a4ee-6962cbf22545,Anindya Ayu Kirana,"setiap mau memberi rating untuk resto, sudah muncul sendiri bintang 2 dan tidak bisa di ubah, padahal saya mau memberi bintang 5 jadi kasian restonya. tolong untuk di perhatikan🙏🏻",3,2026-05-08 14:07:45,1,"resto, restonya"
Gojek / Gofood netral,com.gojek.app,4aa65ef3-3e40-401b-93e8-8ee2ea5a796c,Siti Khadijah,"Parah si udah beberapa hari ini pesen gofood slalu lama , karna sulit mendapatkan driver. tolong dong pihak gojek nya jangan ambil untung terlalu besar, kasian para driver , imbasnya ke kita customer jadi susah mendapatkan driver. karna drivernya pada males-malesan kerja karna gak dapat untung,",3,2026-05-08 13:23:50,0,gofood
Gojek / Gofood netral,com.gojek.app,8478d1b0-7f7d-4c76-9ec6-b2643fddc9df,Jefri Rachman,diskon makanan makin dikit harga makanan makin mahal.,3,2026-05-07 13:40:41,1,"makanan, diskon makanan, harga makanan"
