web-scraper-order,web-scraper-start-url,review,rating,pesanan,tanggal_pesan,Label,Label,,
1701446020-1,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"maaf , rasanya hambar mas",3.0,Mie Suit - Udang Rambutan - Siomay - Air Mineral,Ordered on 28 November 2023,0,Buruk,Review,Frekuensi
1701446020-2,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pelayanan selalu lemot,1.0,Mie Hompimpa lv 1 - Udang Keju - Siomay,Ordered on 27 November 2023,0,Buruk,Review Buruk,1183
1701446020-3,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"oke sebenarnya, cuman di mie gacoan lv 2 punya saya kenapa dikasih pangsit cuman 1? mohon diteliti lagi ya",4.0,Mie Gacoan lv 0 - Mie Gacoan lv 2 - Siomay - Udang Rambutan - Udang Keju - Lumpia Udang,Ordered on 27 November 2023,0,Buruk,Review Baik,1149
1701446020-4,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Gak ada sumpit, lumpia udangnya kececer dalam plastik padahal boxnya ketutup.. ada keripik-keripik kecil di lumpia udangnya yang harusnya gak ada.. gak ada sumpit..",2.0,Es Teklek - Lumpia Udang - Siomay,Ordered on 26 November 2023,0,Buruk,Ambigu,86
1701446020-5,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,wouwowuwowowowowow,5.0,Gacoan Fest B - Udang Rambutan,Ordered on 7 November 2023,1,Baik,Total,2418
1701446020-6,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mie gacoan tidak ada lawan,5.0,Mie Gacoan lv 0 - Mie Gacoan lv 3 - Udang Keju,Ordered on 22 November 2023,1,Baik,,
1701446020-7,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,yg lvl 8 gaada gurih nya cmn pedes gtu,4.0,Mie Hompimpa lv 8 - Mie Gacoan lv 6,Ordered on 21 November 2023,0,Buruk,,
1701446020-8,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,sy pesen mie lvl 2 malah dikasih lvl 0,2.0,Mie Gacoan lv 2 - Udang Rambutan - Udang Keju - Thai Green Tea,Ordered on 18 November 2023,0,Buruk,,
1701446020-9,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesenanku salah woiii.knp jd pangsit semua.pdhl pesen siomay sama udang rambutan,2.0,Mie Gacoan lv 3 - Siomay - Udang Rambutan - Pangsit - Lumpia Udang - Teh,Ordered on 14 November 2023,0,Buruk,,
1701446020-10,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesan mie gacoan lv1 2 malah dapat lv0🤦..rasanya juga aneh GK kyk biasanya ..,1.0,Mie Gacoan lv 1 - Mie Gacoan lv 2,Ordered on 19 November 2023,0,Buruk,,
1701446020-11,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasanya enak makanan/minumannya dan cocok buat melatih kesabaran krna antrinya lama,5.0,Gacoan Fest A,Ordered on 18 November 2023,0,Buruk,,
1701446020-12,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,everything is good,5.0,Mie Gacoan lv 3 - Lumpia Udang - Udang Keju,Ordered on 17 November 2023,1,Baik,,
1701446020-13,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"makanan nya enak bangettt, tapi saya kurang mengerti tentang cara makan dengan menggunakan sumpit, hehe",5.0,Mie Gacoan lv 1,Ordered on 17 November 2023,1,Baik,,
1701446020-14,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,ayangku suka bgt ❤️,5.0,Mie Gacoan lv 1 - Udang Keju - Milo - Air Mineral,Ordered on 17 November 2023,1,Baik,,
1701446020-15,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasanya sama porsi okelah.....yg bikin orang kasih bintang 1 itu karena lamanya proses penyajian,1.0,Mie Hompimpa lv 1 - Udang Keju - Lumpia Udang,Ordered on 16 November 2023,0,Buruk,,
1701446020-16,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,semangat para pekerja malam-pagi,1.0,Mie Gacoan lv 0 - Thai Green Tea,Ordered on 16 November 2023,5,Buruk,,
1701446020-17,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,level 3 ditandainya level 1. kasian anakq jadi kepedesan. setelah aq cek ternyata cabenya banyak bangeeet.. dan yang level 3 punya kakaknya gk berasa pedasss,2.0,Mie Gacoan lv 4 - Mie Gacoan lv 1,Ordered on 8 October 2023,0,Buruk,,
1701446020-18,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Terbaik lah pedesnya 🙏🏻,5.0,Pangsit - Mie Gacoan lv 8,Ordered on 8 November 2023,1,Baik,,
