Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Business_Category,Sentiment_Label,Review_Aspect,Crisis_Flag,Is_Sarcasm
"Terimakasih.. Packing aman, barang baru dan bagus",terimakasih packing aman bagus,unknown,5,Lainnya,Positive,Bentuk,No,No
aplikasi baru bikin ribet pesanan sudah siap bahkan 200% malah skor performa 20 aneh nih apliksi,aplikasi bikin ribet pesan skor performa aneh apliksi,2025-05-26 10:12:34,3,F&B,Netral,Lainnya,No,No
@draftanakunpad3 cobain fore deh matchanya lebih berasa (pesen less sugar wktu itu rasanya pas ga kebanyakan susu/cream,draftanakunpad3 cobain fore matchanya asa sen less sugar wktu pas tidak banyak susu cream,Fri Feb 28 22:22:22 +0000 2025,3,F&B,Netral,Rasa,No,No
"""Yummyyy... cocok buat ngemil abis tarawih. Alhamdulillah, dapat harga @k. Lumayan buat """"obat kangen""""",yummyyy cocok ngemil abis tarawih alhamdulillah harga lumayan obat kangen,unknown,3,F&B,Netral,Rasa,No,No
a tempat with a nice ambiance and enak sushi. it may be called mahal; but unfortunately; the rasa is not terjangkau.,with nice ambiance and sushi it may be called mahal but unfortunately the is not jangkau,unknown,5,F&B,Positive,Rasa,No,No
the quantity of soup was half of what they provide at the restoran,the quantity of soup was half of what they provide at the restoran,7/18/2018 23:19,3,F&B,Netral,Lainnya,No,No
Shoppe tolol aturannya gk masuk akal mana apk lemot ada oeder masuk malah gk bunyi sekarang aturan baru lagi orderan masuk dalam 2 menit tidak konfirmasi dicancel otomatis parah😡,shoppe tolol atur tidak akal apk lot oeder tidak bunyi atur order tidak konfirmasi dicancel otomatis parah,2022-10-31 15:10:52,1,F&B,Negative,Lainnya,Yes,No
"Tolong dong jangan pelangan aja yg bisa komplin dan kasi penilaian di driver nya, kami selaku penjual pun jg harus bisa kasi penilaian ke driver, jangan asal marah2, driver datang saat warung ramai dan marah2, jika orderan lama di krjakan, kami kan butuh waktu dan proses, jangan datang asal marah",tolong jangan pelang komplin kasi nilai driver jual kasi nilai driver jangan marah2 driver warung ramai marah2 order krjakan butuh waktu proses jangan marah,2023-08-02 19:12:48,3,F&B,Netral,Lainnya,No,No
"minta kemasan dibagi 2 msg2 500 gr tetep aja kemasan dijadikan satu, mengganggu banget jadinya",kemas bagi msg2 gr tetep kemas jadi ganggu banget,unknown,2,F&B,Negative,Bentuk,No,No
Steak gratis buat yang ulang tahun dengan ada minimal pembelian. Steaknya boleh gratis tapi kualitasnya ga main-main. Sukses terus chef!,steak gratis ulang minimal beli steaknya gratis kualitas tidak main main sukses chef,11 bulan lalu,3,F&B,Netral,Harga,No,No
Kmrin beli pk dana vouchernya ngk bisa dipake,kmrin pk dana vouchernya ngk dipake,2019-10-13 11:45:43,3,F&B,Netral,Lainnya,No,No
"Mau di update kok malah jd suru instal lg ya? Klik instal, malah jd ada 2 aplikasinya. Tapi klo buka apl yg lama, diminta update lg, klik update langsung masuk ke apl yg baru diinstal tadi, tapi bukan ke akun yg lama. Akun lamanya ga bisa dibuka. Gimana ini?",update suru instal lg klik instal aplikasi klo buka apl update lg klik update apl diinstal bukan akun akun tidak buka gimana,2020-03-14 14:39:18,3,F&B,Netral,Rasa,No,No
Fitur Terbaik:tutup nya knapa kurang rapat Sepadan dengan Harga:harga sesuai dengan barang,fitur baik tutup knapa rapat padan harga harga sesuai,unknown,2,Lainnya,Negative,Harga,No,Yes
"Saya lupa pasword, mau link udh dikirim ke email dan udh saya buk, cuma udh ikutin petunjuk membuat pasword baru minimal 8 karakter & menggunakan simbol, huruf, angka masih ga bisa juga ya",lupa pasword link email buk ikutin tunjuk pasword minimal karakter simbol huruf angka tidak,2022-01-16 18:00:53,3,F&B,Netral,Bentuk,No,No
lama cari driver,cari driver,2025-06-24 17:21:11,3,F&B,Netral,Lainnya,No,No
"dah mendarat dengan slamat gan,packing mayan rapi,tq yaa gan.....klo pesen 3 lagi masih ready ga gan barangnya??",dah darat slamat gan packing mayan rapi tq yaa gan klo sen ready tidak gan barang,unknown,5,Lainnya,Positive,Bentuk,No,No
"entah apa masalahnya, orderan sangat menurun drastis, mungkin karena di luar sana SDH byk jualan yg serupa,,, terus entah knp notifikasi GK bunyi meski SDH seringkali di cek GK ada masalah,,, driver kburu datang aplikasi baru di buka,, sedangkan tandain siap hrs sesegera mungkin dgn wkt yg sangat terbatas",order turun drastis byk jual knp notifikasi tidak bunyi seringkali cek tidak driver kburu aplikasi buka tandain hrs wkt batas,2023-07-05 16:12:46,3,F&B,Netral,Lainnya,No,No
harga performance was satisfactory. although it was wood fired it could have been better. maybe doner can be asked to be a little more cooked.,harga performance was satisfactory although it was wood fired it could have been better maybe doner can be asked to be little more cooked,unknown,4,F&B,Positive,Harga,No,No
"Aplikasi nya Lemot di saat ingin Membuat atau Mengedit Daftar Menu, mohon untuk di Perbaiki kembali. terima kasih..",aplikasi lot edit daftar menu baik kasih,2026-01-21 16:40:16,3,F&B,Netral,Lainnya,No,No
tolong lebih cepat dikit,tolong cepat dikit,Ordered on 27 June 2021,3,F&B,Netral,Lainnya,No,No
lumpia udangnya kok banyak otot2nya 🤦‍♀️,lumpia udang otot2nya,Ordered on 20 October 2022,2,F&B,Negative,Lainnya,No,No
i have ordered for special mutton biryani but they delivered chicken biryani and no response form the restoran num of the number were working,have ordered for special mutton biryani but they delivered chicken biryani and no response form the restoran num of the number were working,3/10/2019 23:53,1,F&B,Negative,Lainnya,No,No
"aplikasi taiiikk,bangke, busuk!!! kita tidak ikut subsidi promo resto dan iklan tapi dipaksa ikut! Pihak aplikasinya daftarin sendiri. udah dicomplain supaya promo tersebut dihentikan tp tdk dihentikan. pihak cs shopee food nya tidak pernah memberikan solusi dan penyelesaian. cuma disuruh ngisi form aja, gitu gitu terus,udah diisi tetap aja promonya ga berenti. bayangin loh saya complain udh 2bulan ga ada penyelesaian. laporan penjualan harian selalu selisih. RESTO saya RUGI!!!! ga ada otak!!!",aplikasi taiiikk bangke busuk tidak subsidi promo resto iklan paksa aplikasi daftarin udah dicomplain promo henti tidak henti cs shopee food tidak solusi selesai suruh ngisi form gitu gitu udah isi promonya tidak renti bayangin loh complain 2bulan tidak selesai lapor jual hari selisih resto rugi tidak otak,2026-05-14 10:42:50,1,F&B,Negative,Rasa,No,No
"Saran, kembangkan lagi sistemnya, biar ada pengaturan stok (seperti toko sebelah). Sementara toko di gofood sy tutup, karena gak bisa atur stok.",saran kembang sistem biar atur stok toko belah toko gofood sy tutup tidak atur stok,2021-08-03 19:57:25,3,F&B,Netral,Lainnya,No,No
"driver sudah datang,tidak ada notifikasi 😰😰 kasian driver jd nunggu lebih lama.",driver tidak notifikasi kasi driver nunggu,2022-03-08 20:30:28,3,F&B,Netral,Lainnya,No,No
klo bayar pakai gopay atau shopee ribetnya innalillahi zbl,klo bayar pakai gopay shopee ribetnya innalillahi zbl,2021-04-24 20:34:02,3,F&B,Netral,Harga,No,No
"bad services, di chat berkali² gak dibalas. cuma jual produk gaada pelayanan sama sekali",bad services chat kali tidak balas jual gaada layan,unknown,2,Lainnya,Negative,Lainnya,No,No
only masala is der in biryani tooooo much spicy am seeing dis from 3times i ordered but same like diz only they r giving wrost biryani 👎👎👎,only masala is der in biryani tooooo much spicy am seeing dis from 3times ordered but same like diz only they giving wrost biryani,12/12/2018 23:27,1,F&B,Negative,Lainnya,No,No
Ini kensp setelah di update berubah bukan PHD lagi dan saya tidak bisa login dengan akun yg biasanya?,kensp update ubah bukan phd tidak login akun,2020-07-25 15:04:49,3,F&B,Netral,Lainnya,No,No
Gimana mau pesan kalau lokasi tidak bisa di temukan. Padahal gprs dan alamat sudah jelas tapi tetap aja ga jelas. Mau order jadi susah,gimana lokasi tidak temu gprs alamat tidak susah,2018-08-16 11:41:37,3,F&B,Netral,Lainnya,No,No
lebih suka kober,suka kober,Ordered on 26 August 2022,2,F&B,Negative,Lainnya,No,No
Tolong dong di penilaian dan ulasan ada fitur balas ulasan. Karena sudah beberapa hari ini saya di kerjain sama sesama pedagang dan menaruh rating bintang 1. Padahal makanan semua komplit dan tidak ada komplain sebelum nya. Jangan cuma motong 20% doang. Iklan aja harus bayar. SEBELAH iklan ga bayar,tolong nilai ulas fitur balas ulas kerjain dagang taruh rating bintang makan komplit tidak komplain jangan motong doang iklan bayar belah iklan tidak bayar,2022-03-21 23:58:27,1,F&B,Negative,Rasa,Yes,No
"PARAH YA DIUPDATE BUKANNYA BENER MALAH NAMBAH KACAU! DI PENGATURAN CEK NOTIFIKASI BUNYI, TAPI SETIAP ADA ORDERAN MALAH GABUNYI SAMA SEKALI, MALAH DRIVER NGASIH TAU ADA ORDERAN! TOLONG DONG PADA BECUS KERJA MALAH BIKIN RIBET AJA NIH LAMA² APLIKASI!",parah diupdate bener nambah kacau atur cek notifikasi bunyi order gabunyi driver ngasih tau order tolong becus bikin ribet aplikasi,2023-10-01 07:15:59,1,F&B,Negative,Lainnya,Yes,No
had a good time and best pelayanan...near tempat to come. food is very enak and good. good good makanan enak very nice restoran. we would like to come over again and again thank you so much the enak food,had good time and best layan near to come food is very and good good good makan very nice restoran we would like to come over again and again thank you so much the food,5/20/2019 20:51,5,F&B,Positive,Rasa,No,No
"mengecewakan sering terjadi tidak dapat driver, kalau kurang driver seharusnya ditambah donggggg.. Kaya gini merugikan resto saya",kecewa tidak driver driver tambah donggggg kaya gin rugi resto,2021-05-18 23:17:58,3,F&B,Netral,Lainnya,No,No
Kasih lah Diskon Gofood udh hampir setahun gk pernah dapet dapet lagi.,kasih diskon gofood tahun tidak dapet dapet,2024-10-10 08:59:46,3,F&B,Netral,Harga,No,No
"this tempat is worse, you will see flies and don’t have courtesy to the customers. zomato accept the booking and restoran will not accept",this is worse you will see flies and don have courtesy to the customers zomato accept the booking and restoran will not accept,5/4/2019 23:53,1,F&B,Negative,Lainnya,No,No
selalu ada aja masalah dengan pencairan dana. padahal kan saya butuh uangnya untuk oprasional resto,cair dana butuh uang oprasional resto,2026-03-14 10:55:37,3,F&B,Netral,Lainnya,No,No
pasta was fresh. there is always a long antrean in front of the tempat. i ate fettuccine alfredo; the sauce and rasa were good.,pasta was fresh there is always long antre in front of the ate fettuccine alfredo the sauce and were good,unknown,5,F&B,Positive,Rasa,No,No
Makanan dijamin enak cuma ada lalat aja 1/2 seliweran,makan jamin lalat seliwer,2026-03-31T12:56:50.017Z,5,F&B,Positive,Rasa,No,No
Semua fungsi normal semoga awet dan bermanfaat,fungsi normal moga awet manfaat,unknown,5,Lainnya,Positive,Bentuk,No,No
This retro Chinese restaurant gives the 80's vibe is a good place to have a decent Chinese meal although some say it doesn't taste like Cantonese meal as per restaurant name. The food is good and tasty. The dish is served fast. The big spoon made out of a small spoon is considered the main attraction.,this retro chinese restaurant gives the vibe is good place to have decent chinese meal although some say it doesn taste like cantonese meal as restaurant name the food is good and tasty the dish is served fast the big spoon made out of small spoon is considered the main attraction,2024-03-30T16:22:50.241Z,3,F&B,Netral,Rasa,No,No
jujur saya kecewa sama aplikasi ini sudah 4x pesanan saya dibatalkan oleh resto dan tidak mendapat kompensasi apapun. saya sangat menyayangkan hal ini dikarenakan alasan yg tidak jelas juga dibatalkannya. mohon maaf jika saya review jelek begini semoga diperbaiki aplikasinya biar resto tidak semena-mena,jujur kecewa aplikasi 4x pesan batal resto tidak kompensasi apa sayang alas tidak batal maaf review jelek moga baik aplikasi biar resto tidak semena mena,2025-11-24 21:03:11,1,F&B,Negative,Rasa,Yes,No
"Grab food skrng klo gak dapet"" draiver gak bisa d batalkan nunggu lama bngt 1 jam nunggu blom dapet draiver masih aja gak bisa d batalkan",grab food skrng klo tidak dapet draiver tidak batal nunggu bngt nunggu blom dapet draiver tidak batal,2024-10-20 10:55:10,3,F&B,Netral,Lainnya,No,No
"Terlalu memanjakan custumer. Seharusnya confirmasi juga di resto. Kronologi, makanan udah dibuatin, tiba2 custumer minta yg lain, ya kita gak bisa lah karena makanan udah jadi. E tiba2 kecancel alasan menu habis, padahal jelas2 pesanan sudah siap. Tolong diperbaiki lagi. Kita kayak gini rugi uang rugi tenaga juga. Parah banget",manja custumer confirmasi resto kronologi makan udah dibuatin tiba2 custumer tidak makan udah tiba2 kecancel alas menu habis jelas2 pesan tolong baik kayak gin rugi uang rugi tenaga parah banget,2023-01-24 20:13:55,2,F&B,Negative,Rasa,Yes,No
memudahkan dalam memilih armada untuk perjalan karna banyak pilihannya dan sangat memudahkan d saat lapar bisa memesan makanan d aplikasi inj,mudah pilih armada jalan pilih mudah lapar mes makan aplikasi inj,2026-06-05 12:22:54,5,F&B,Positive,Rasa,No,No
Fitur Terbaik:bagus Sepadan dengan Harga:sepadan Semoga awet lah... Makasih seler..tetap istiqomah yaa,fitur baik bagus padan harga padan moga awet terima kasih seler istiqomah yaa,unknown,5,Lainnya,Positive,Bentuk,No,No
"fitur promosi jadi iklan, kalau boleh usul hilangin fitur-fitur iklan nya, mau promo diskon menu dan coret harga sekarang tidak ada fitur itu, terimakasih🙏",fitur promosi iklan usul hilangin fitur fitur iklan promo diskon menu coret harga tidak fitur terimakasih,2024-06-20 12:38:47,3,F&B,Netral,Harga,No,No
apknya sekarang ko di menu go kasir gak bisa muncul menunya,apknya ko menu go kasir tidak muncul menu,2025-06-30 12:07:04,3,F&B,Netral,Lainnya,No,No
"di aplikasi grab merchant resto sudah dibuka,,tetapi di aplikasi grabfood tidak bisa di order, los omset banyak,,kejadian tidak satu atau dua kali,,sering mlah",aplikasi grab merchant resto buka aplikasi grabfood tidak los omset jadi tidak mlah,2025-09-13 23:07:39,1,F&B,Negative,Lainnya,No,No
"Fitur Terbaik:produk oriii Sepadan dengan Harga:gratis ongkirrrrrrr,kurir rammaaah.......",fitur baik oriii padan harga gratis ongkirrrrrrr kurir rammaaah,unknown,5,Lainnya,Positive,Harga,No,No
"Alhamdulillah barang sudah sampe dgn selamat, makasih shopee, barang sampe & tidak ada cacat sama sekali, mulus....tidak mengecewakan 😘😘😘😘",alhamdulillah sampe selamat terima kasih shopee sampe tidak cacat mulus tidak kecewa,unknown,5,Lainnya,Positive,Lainnya,No,No
