Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Business_Category,Sentiment_Label,Review_Aspect,Crisis_Flag
Kenapa disaat membeli gofood di gojek ongkirnya mahal kali yah. Biasanya ongkirnya tidak semahal itu. Tolong ongkirnya dikurangin lagi dan promo gofoodnya diperbanyak lg. Aku udah nyaman loh pakai gojek. Kalau ongkirnya kemahalan lama-lama aku nggk mau lg mesan gofood di gojek,saat beli gofood gojek ongkirnya mahal kali yah biasa ongkirnya tidak mahal ongkirnya rangin promo gofoodnya banyak lg udah nyaman loh pakai gojek kalau ongkirnya mahal lama lama nggk mau lg mesan gofood gojek,2026-03-06 22:07:58,3,F&B,Neutral,Harga,No
"i have ordered tangdi kabab, i think being late nitr order this people have packed mixed chicken pieces, i got 2 tandoori 1 biryani leg pieces and one tangdi piece. i request restoran plz don't accept orders if you don't have enough food.don't try to fool people.business success depends on trust and kualitas i think u should understand it.",have ordered tangdi kabab think being late nitr this people have packed mixed chicken pieces got tandoori biryani leg pieces and one tangdi piece request restoran plz don accept orders if you don have enough food don try to fool people business success depends on trust and kualitas think should understand it,4/22/2019 19:17,1,F&B,Negative,Bentuk,No
barang original berfungsi dengan baik,original fungsi baik,unknown,5,Lainnya,Positive,Bentuk,No
ramah. nice pelayanan chicken biryani is enak curry bowl design nice... nice temp nice as cooling nice tooth pics nice spot for selfie nice restoran settings,ramah nice layan chicken biryani is enak curry bowl design nice nice temp nice as cooling nice tooth pics nice spot for selfie nice restoran settings,5/24/2019 20:32,5,F&B,Positive,Rasa,No
Kemasan atau kotak nya rusak tapi untung isi nya gk rusaak,kemas kotak nya rusak untung isi nya tidak rusaak,unknown,2,Lainnya,Negative,Bentuk,Yes
Masakan enak tempat nyaman,masakan enak tempat nyaman,2026-02-01T14:10:32.403Z,5,F&B,Positive,Rasa,No
pengiriman sangat lama. lebih 1 bulan. seharusnya toko2 seperti ini harus profesional.kecewa berat..,kirim sangat lama lebih toko2 profesional kecewa berat,unknown,2,Lainnya,Negative,Bentuk,Yes
"lumayan , tp smnggu bru smpe",lumayan smnggu bru smpe,unknown,2,Lainnya,Negative,Lainnya,No
PESEN MAKANAN NUNGGU PENGEMUDI SETENGAH MATI,sen makan nunggu kemudi tengah mati,2024-12-05 21:46:27,3,F&B,Neutral,Rasa,No
Tidak terlihat status pesanan dan tidak ada konfirmasi langsung ke customer dari phd,tidak lihat status pesan tidak konfirmasi langsung customer phd,2018-09-15 21:59:15,3,F&B,Neutral,Lainnya,No
Recommended. Komunikasi lancar. Instruksi jelas. Game-nya gampang diinstall. Kapan-kapan ke sini lagi. Terima kasih!,recommended komunikasi lancar instruksi jelas game nya gampang diinstall kapan kapan kasih,unknown,5,Elektronik,Positive,Lainnya,No
"tipis, baru tau sizenya abnormal lebar 21cm.",tipis baru tau sizenya abnormal lebar 21cm,unknown,2,Lainnya,Negative,Bentuk,No
@buayakesandung Akungopi Fore Iyo. Tapibelum datengsih masih di jalan.,buayakesandung akungopi fore iyo tapibelum datengsih jalan,Thu Feb 27 12:00:24 +0000 2025,3,F&B,Neutral,Lainnya,No
@munvess 1. kopi susu gula aren yang 12k udah seukuran teh jumbo itu 2. kenangan mantan 3. fore butterscotch sea salt 4. belikopi ksga,munvess kopi susu gula aren 12k udah ukur teh jumbo kenang mantan fore butterscotch sea salt belikopi ksga,Tue Feb 25 15:52:52 +0000 2025,3,F&B,Neutral,Rasa,No
"Kualitas Jelek,,,Suara Mic Udah Max Suara Kecil ,,,",kualitas jelek suara mic udah max suara kecil,unknown,1,Hobi & Hiburan,Negative,Bentuk,No
this tempat has an amazing suasana with very professional and premium pelayanan. food is as well good and relishing. it's an amazing tempat to hangout with friends and family. also can be considered for a makan malam date. very highly impressed.,this tempat has an amazing suasana with very professional and premium layan food is as well good and relishing it an amazing tempat to hangout with friends and family also can be considered for makan malam date very highly impressed,3/17/2019 20:57,5,F&B,Positive,Lainnya,No
the tempat refused to replace quarter plate. the pelayanan is pathetic. food is on table but no spoons or forks. the manager has one answer they are playing by rule book,the tempat refused to replace quarter plate the layan is pathetic food is on table but no spoons or forks the manager has one answer they are playing by rule book,3/1/2019 22:45,1,F&B,Negative,Lainnya,No
penanganan lama sekali status di kirim hari kamis kenyataannya baru senin di kirim karna di komplain dan selasa baru sampai,tangan lama sekali status kamis nyata baru senin komplain selasa baru,unknown,2,Lainnya,Negative,Lainnya,Yes
"Mantap bening kulkasnya, cepat dingin semoga awet",bagus bening kulkas cepat dingin moga awet,unknown,5,Lainnya,Positive,Rasa,No
"gajelas,mesen gofood nunggu sejam nunggu resto lagi nyiapin makanan...udh selesai gadapet driver ko malah sruh beli ulang,lawak bget...ngasi driver yg bener lah lawak",gajelas mesen gofood nunggu jam nunggu resto nyiapin makan selesai gadapet driver ko malah sruh ulang lawak bget ngasi driver bener lawak,2026-03-25 20:08:18,1,F&B,Negative,Rasa,No
"Pengiriman cepet, produk dalam keadaan baik dan berfungsi sesuai deskripsi, terima kasih seller",kirim cepet ada baik fungsi sesuai kasih seller,unknown,5,Lainnya,Positive,Bentuk,No
"unhelpful and rude staf. according to zomato, they are supposed to be open till 11 but the staf gives excuses to not accept orders at 10.45 also, probably because they want to leave early. on top of that, they have the audacity to behave rudely. don't visit this outlet.",unhelpful and rude staf according to zomato they are supposed to be open till but the staf gives excuses to not accept orders at also probably because they want to leave early on top of that they have the audacity to behave rudely don visit this outlet,8/12/2017 23:00,1,F&B,Negative,Lainnya,No
"Pizza belum dateng, sistem tracking nya sudah selesai ..",pizza belum dateng sistem tracking nya selesai,2016-10-31 22:25:42,3,F&B,Neutral,Lainnya,No
barangnya ada yg sobek diujung nya jadi macet� ketika dinyalakan,barang sobek ujung nya jadi macet nyala,unknown,3,Elektronik,Neutral,Lainnya,No
pilih yg basic beef grill shabu arround 180k per org buat kuah shabu kata waitrees nya tomyum original chicken yg fave kuah tomyumnya cukup enak rasa pedes asemnya balance tp lebih enak yg chicken si pilihan veggie nya lumayan byk tp menurut gw agak krg fresh buat menu grillnya lumayan byk jg menu buffet nya jg lumayan byk ada beef teriyaki sushi steak ice cream tempura sushi ice cream matchanya enak yg lainnya b aja pilihan minuman nya jg lumayan byk waktu makan dsini 2 jam jd mayan lama yah which is yg lain cm 90 mnt,pilih basic beef grill shabu arround 180k per org buat kuah shabu kata waitrees nya tomyum original chicken fave kuah tomyumnya cukup enak rasa pedes asemnya balance lebih enak chicken si pilih veggie nya lumayan byk gw krg fresh buat menu grillnya lumayan byk menu buffet nya lumayan byk beef teriyaki sushi steak ice cream tempura sushi ice cream matchanya enak lain pilih minum nya lumayan byk waktu makan dsini jadi mayan lama yah which is cm mnt,unknown,5,F&B,Positive,Rasa,No
Harga:mahaaal Kualitas:mahal tapi jelek Mentang mentang beli flashsale di kasih barang Reject. Mending beli yg 20rb an.,harga mahaaal kualitas mahal jelek mentang mentang flashsale kasih reject mending 20rb an,unknown,2,Lainnya,Negative,Harga,No
Pelayanan mas zusup susanto oke 👌 Masakan oke,layan mas zusup susanto oke masakan oke,2026-02-04T13:23:19.432Z,5,F&B,Positive,Lainnya,No
original pengemasan dan pengiriman standar.. siiiipplll,original emas kirim standar siiiipplll,unknown,5,Kesehatan & Kecantikan,Positive,Bentuk,No
the burger is successful; but the pelayanan is very lambat; i came to the tempat 2 times; they bring the order incorrectly.,the burger is successful but the layan is very lambat came to the tempat times they bring the incorrectly,unknown,3,F&B,Neutral,Lainnya,No
"saya sangan beruntung pengiriman ke sumba NTT barang masih utuh. wlu tanpa bubble wrap gabus didalam hancur bersyukur sekali bukan blendernya. blender smua normal.sdh dites. makasih seller. untuk kedepannya tolong lebih safety lg, smga lebih banyak pelanggan yg berdatangan.",sangan untung kirim sumba ntt utuh wlu bubble wrap gabus dalam hancur syukur sekali bukan blender blender smua normal tes terima kasih seller depan lebih safety lg smga lebih banyak langgan datang,unknown,2,Lainnya,Negative,Lainnya,Yes
"came to get makan malam, made a reservation in advance. sat for the first 10 mins waiting for someone to get a menu and water.. after 20 mins of waiting for water and asking a few times for someone to take the order we decided to leave when no one came. still no questions asked on why we're leaving. i guess one can plan a visit if they have a lot of time in their hands and or are not hungry. had heard good things but this experience changes my mind completely. won't recommend it for the pelayanan",came to get makan malam made reservation in advance sat for the first mins waiting for someone to get menu and water after mins of waiting for water and asking few times for someone to take the we decided to leave when no one came still no questions asked on why we re leaving guess one can plan visit if they have lot of time in their hands and or are not hungry had heard good things but this experience changes my mind completely won recommend it for the layan,4/6/2019 21:55,1,F&B,Negative,Lainnya,No
"Barang oke dan ori, sesuai deskripsi, sampai sekarang belum ada masalah. Respon seller cepat, paket dibungkus dengan aman. Terima kasih.",oke original sesuai belum masalah respon seller cepat bungkus aman kasih,unknown,5,Lainnya,Positive,Bentuk,No
"pengiriman lama, kemasan penyok parah",kirim lama kemas penyok parah,unknown,2,Ibu & Bayi,Negative,Bentuk,Yes
"gojek sekarang beda dgn yg dulu, gojek sekarang cari driver susah, karena para hak driver gx sejahtera, saya dari beberapa kali order gocar gx dapat driver, sampai 3 x order, akhirnya ke aplikasi sebelah, order makanan hampir 2 jam, jd tak selera makan,",gojek beda dulu gojek cari driver susah hak driver gx sejahtera beberapa kali gocar gx driver akhir aplikasi belah makan hampir jadi tak selera makan,2026-03-30 13:48:29,3,F&B,Neutral,Rasa,No
"grabfood ini tolong Di perbaiki lg lh.. buat mau makan aja nunggu berjam"" pengenmudi nya.. di batalin gk bisa kelen suruh tunggu org udh kelaparan kelen suruh nunggu di mana otak kelen.. 2 smpe 3 jam nunggu gak dapat"" ... seharusnya kelen buat batalkan pesan mandiri capek x lihat nya asik gitu"" aja.. tlong lh agak kelen perbaiki.. udh gk dapat 1 jam an aja seharusnya kelen buat batal mandiri nya.. gk harus kelen suru org nunggu berjam""",grabfood baik lg lh buat mau makan nunggu jam pengenmudi nya batalin tidak kelen suruh tunggu org lapar kelen suruh nunggu mana otak kelen smpe nunggu tidak kelen buat batal mandiri capek lihat nya asik gitu tlong lh kelen baik tidak an kelen buat batal mandiri nya tidak kelen suru org nunggu jam,2026-04-05 18:21:36,1,F&B,Negative,Lainnya,No
Pengiriman sangat cepat.. Mantapppp..,kirim sangat cepat mantapppp,unknown,5,Lainnya,Positive,Rasa,No
warnanya tdk sesuai ekspektasi,warna tidak sesuai ekspektasi,unknown,3,Kesehatan & Kecantikan,Neutral,Bentuk,No
