app_name,app_id,review_id,user_name,review_text,rating,review_date,thumbs_up_count,matched_keywords
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,fec4f6b9-c656-407d-91a5-01cef3df52e8,ghina nafiah,"Aneh ya shoppepay kadang aku beli makanan tuh ada verifikasi pakai sidik jari kadang juga ngak ada maksudnya apa sih tiba2 udah berhasil ke beli aja, maksudku aku udah setel harus verif dulu, kenapa tiba2 udah kebeli aja klo tiba2 kepencet gimana dong, kan niatnya klo mau beli beda menu atau jdi beli yg lain ngak enak udh kepencet, kasian drivernya😞",3,2026-06-07 20:31:46,0,"makanan, menu"
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,f2f9da27-d516-4b66-8984-15d69bb41f9d,Jihan Mona,untuk shopee food pesanan dpt di batalkan apabila belum ada driver ditugaskan setelah 50 menit. yang bener aja orang kelaparan disuruh nunggu 50 menit terus dibatalkan GILAAAAAA,3,2026-06-05 11:48:05,0,shopee food
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,9011c0bd-6d10-499d-870d-f24053bf46c0,Angelika Fanny,baru kali ini shoppe memberitahu kan voucher saya tidak bisa digunakan dan akun saya bisa diblokir maksudnya apa ya tolong ya diperbaiki saya tdk suka saya ingin belanja voucher yg biasa saya pakai tdk bisa digunakan knp² gt akhir² Ini.,3,2026-06-04 18:59:16,0,voucher
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,e2713afc-9f71-4eff-b79f-b8a659019913,Sari Ani,masak voucher gratis ongkir gak bisa pake padahal harga barang sesuai harga gratis ongkir,3,2026-06-04 12:16:49,0,voucher
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,f494645e-66ee-4cd7-8457-d9f0300cc4f0,Kulsum Xiaomi,shopee food kurang banyak promo masa udah viv aja diskon nya cuman 1rb awalnya doang diskonnya sampe 10rb 😮‍💨,3,2026-06-01 17:38:09,0,shopee food
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,bd0a0504-7eca-4446-a9bc-dee2a5379c40,Isnaini Rahmawati,"sekarang sopee ini nyebelin, mencet yang lain kok malah kembali ke menu awal,,, bolak balik seperti itu",3,2026-05-31 13:27:26,0,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,cf3bb024-a81e-404b-a5fe-f78cf96ad699,jaka winata,kenapa di sohpe tidak ada menu pesan di terima,3,2026-05-31 09:48:03,0,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,9a9b4412-f011-425b-bb6f-709b4b7728d6,Kamto Yudotomo,belanja lbh mudah dgn shopee dan banyak pilihan saran aja kalo bisa dikasih menu tanya jawab seputar produk sesama reseller agar bisa pastikan produk yang mau dibeli agar tidak ada penipuan kayak e-commerce yang lain tp ada yg bikin kecewa pelacakan pesanan kurang akurat dan tidak sesuai dengan keadaan yg sebenarnya,3,2026-05-30 21:06:56,0,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,bc7299ad-b57d-4867-bd7c-bae06eb02967,Isma Maulana Yusuf,"buatkan versi tanpa shopee video, agar lebih smooth, versi lite nya terlalu kurang contohnya menu pavorit yg hilang",3,2026-05-30 09:36:52,0,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,6b59d94b-590e-4750-9fa6-255f1575878f,Djibran Novky,"tolong nih ya buat Shopee food delivery nya terutama, gw kecewa sama pelayanan nya, singkat aja dela ini udh nganternya lama 1 jam lebih, terus juga dia bukannya berhenti di rumah saya, malah nangkring di atas motor, Tiba-tiba malah teriak manggil nama saya + bawa bawa personal pribadi orang, emang sopan? dia kan dibayar, kalo cape semua orang juga yg kerja cape kali, emang elu doang yg ngerasa cape, kalo udh tua mending ke pati jompo daripada fokus kerja🙏",3,2026-05-30 06:24:16,0,shopee food
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,3838a094-a94f-4ca5-b023-ad7347f54f8a,HAN Song1717,"shopee lgi kenapa, tombol ikon pindah² dan malah tombol live skrng ngga ada, udh pindh lgi aja... , biasa buka saya trus menu/ikon live skrng ngga ada,.. trlalu keseringan pindh2 posisi menu² yg udh seharusnya, jdi kadang bikin kesel,",3,2026-05-27 12:37:40,0,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,7b0da67b-784d-4c65-8202-29c1d462dd27,Irmayeni,"ongkir shopee food nya mahal banget min, hemat yang 5000 pun jadi 1000",3,2026-05-27 11:54:17,3,shopee food
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,6a5ae191-020f-4752-a7e6-d9f4d1a71737,ahmad mujahid,terganggu dengan produk nike di menu pencarian yang dicari produk lain yang ditampilkan produk nike,3,2026-05-26 12:01:22,0,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,5bbedb43-8cfb-445c-b851-7919763252c3,Pangkalan Balai,"kenapa saat ingin membuka tagihan shopeepay saya malah tidak bisa,pdahal di menu yang lain bisa semua saat di buka.",3,2026-05-25 21:21:01,0,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,6588972f-8f57-49bb-9f97-d19b00a7cdef,Moezza Aurorra,"entah kenapa kalau ngetik nama barang di kolom search,yang muncul selalu produk ""nike official"". padahal aku cari kopi bukan sepatu.",3,2026-05-25 11:21:55,0,kopi
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,741b04bc-96ae-4047-bbe6-6b93ceb6ffd3,Haidan Syahputra,"tolong perbaiki untuk Shopee food, titik pengantaran ketika di isi secara manual untuk alamat kenapa geser sendiri, ini yang sering terjadi ketika pesan, yang dampaknya kepada driver pengiriman yang sering tidak sesuai titik",3,2026-05-24 20:13:04,0,shopee food
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,9c3ffd3a-d8e2-45f2-baff-8a5eb66a2d83,Nafilla Alfidanuri,Biaya Admin Shopee Food nya Mahal Bangett Sekarang Rp.4.000 Lebih..,3,2026-05-21 19:42:31,15,shopee food
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,7a2da90b-0d58-4f25-9975-23e56f9bf58c,King MA,"sebenernya perfek, tapi banyak kasus kayak kirim barang yang salah, terus juga suka banget diundur hari paket datengnya gara gara gamau ngasih kupon, padahal telat mah telat aja gausah gitu, itu malah nunjukin minesnya ni apk",3,2026-05-19 16:29:42,4,kupon
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,36ef9096-d84f-47f2-9cab-a5b205154914,Yuli Nur Hidayah,"halo, saya sudah menggunakan shopee untuk berbelanja online, pembayaran online dan juga untuk order makanan. tapi mulai akhir tahun 2025 sampai sekarang cukup kecewa dengan fitur shopee food, padahal saya sudah pakai rutin selama hampir 4 tahun untuk order makan, tapi semakin hari semakin gak ngotak potongan harganya, untuk harga makanan di shopee food memang terbilang MAHAL karena ada biaya tambahan operasional shopee, tapi sekarang voucher potongan harganya hanya seupil huhu in this economy😭",3,2026-05-16 16:44:00,0,"shopee food, voucher, makanan, order makanan"
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,b7ebd268-f9ae-455d-bab9-d5c9af36848e,Royzart Mof,"Aplikasinya Lelet sekali dibagian menu, dan profil. tapi klw video promosi barang Pas buka aplikasi langsung putar tanpa gangguan. Biaya Pengiriman Tetap aja Mahal ke NTT, yg buat malas belanja karena Biaya Pengiriman lebih mahal dari barang yang ingin dibeli🤪",3,2026-05-15 19:53:25,6,menu
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,29602b11-5085-4066-9401-70fdc8120585,nugraha bimantara,aplikasinya sudah bagus tapi kadang masih suka error saat mau memesan makanan atau barang tolong di perbaiki secepatnya jadi,3,2026-05-15 15:13:13,0,makanan
Shopee Indonesia / ShopeeFood Netral v2,com.shopee.id,2244ae1e-b225-4c02-a9bf-9ddcdb7b9299,Iwan Maulana Ikhsan,"buka pertama apl langsung tayangan live, buka ke menu yang lain kadang sering ada suara tayangan live.. tolong diperbaiki",3,2026-05-14 20:27:40,0,menu
