app_name,app_id,review_id,user_name,review_text,rating,review_date,thumbs_up_count,matched_keywords
Shopee Partner negatif,com.shopeepay.merchant.id,f71613ef-08cb-4995-b761-b390b4051eb1,sapu jagat,potongan nya 25% gimana mau rame usaha jualan.... bhn pada naik klo ikut promo yg ada boncos. potong biaya iklan dan komisi 25% Shopee biadab.,1,2026-06-06 21:06:05,0,"promo, komisi"
Shopee Partner negatif,com.shopeepay.merchant.id,94bb4b16-dd02-40cf-af35-00d8b6606eed,Hawal Uddin,saya resto memberitahu bahwa aplikasi ini sungguh kejam. hara makanan tertera di aplikasi 34.700 resto hanya menerima 13.400. alangkah kejam sungguh kejam dan terlalu kejam KEJAM,1,2026-06-06 12:29:39,0,"resto, makanan"
Shopee Partner negatif,com.shopeepay.merchant.id,7e98dec8-59d3-4b37-923c-109f2ac9847d,Ucu Ucu,"aplikasi paling buruk, d bandingkan yang lain, drivernya banyak,orderan banyak yg masuk tp susah dapat driver",1,2026-06-05 14:40:39,0,"orderan, driver"
Shopee Partner negatif,com.shopeepay.merchant.id,a7d9b9ba-a037-4814-bd9e-e3b1c3d4819f,HSE,outlet sering ditutup...sangat mengganggu...sama saja merusak rejeki orang...,1,2026-06-05 09:38:23,1,outlet
Shopee Partner negatif,com.shopeepay.merchant.id,25baafe2-7b20-4183-8279-dfcdacaee8ad,Titin Vikey,saking bikin emosi ini Shopee di TUTUP SEMENTARA terus seenak jidatnya..kasih harga tinggi biar pd beralih ke Aplikasi duo Ijo aja..walau masih tetap orderan masuk jg. Gak GUNA bgt aplikasi hrs di TUTUP SEMENTARA tuh..kaya gak ada kerjaan bgt hrs terus mantau aplikasi & hrs terus standby ini aplikasi..apa gunanya ada menu setting jam operasional kalo masih hrs buka tutup manual jg & seenaknya di tutup sementara???!!!! Aplikasi duo Ijo gak pernah ada masalah cuma Shopee yg byk DRAMAnya,1,2026-06-04 08:16:27,1,"menu, orderan, orderan masuk, jam operasional"
Shopee Partner negatif,com.shopeepay.merchant.id,0f2ca497-fa37-470d-b65a-7fa322925e43,Alby Sanjaya,"aplikasi nya aneh, toko udh di buka suka tutup sendiri sehari bisa 3x di tutup...makin kesini makin kacau aplikasi resto nya..",1,2026-06-04 06:37:57,1,resto
Shopee Partner negatif,com.shopeepay.merchant.id,cdd3a702-5a4b-43af-a28a-77a8242dcf1a,Syam Um Gadhani,"gak bisa hapus akun lama katanya tidak terdaftar, akun merchant yang baru juga gak bisa dipake gara2 usernamenya sama dgn yg lama, berkali2 hubungi cs gaada solusi",1,2026-06-03 22:35:47,1,merchant
Shopee Partner negatif,com.shopeepay.merchant.id,73cf9791-eabf-4323-91f8-a323f7f48a79,andreas widodo,uda uninstall kok masih ada pesanan masuk?,2,2026-06-03 16:34:27,0,"pesanan, pesanan masuk"
Shopee Partner negatif,com.shopeepay.merchant.id,da318271-2640-4a4c-b624-2985561999f2,Ariska Putra,"niat bikin aplikasi gak sih? notifikasi sering gak muncul, mana cuman dikasih waktu cuman 5 menit buat pesanan, kasian driver jadi nunggu lama, mana mana jg jadi kena omel driver, katanya udah masuk daritadi, double order pula. Jadi waktu pembuatan makanan saya diburu buru juga. Bener bener aplikasi yang ngerugiin pedagang sama driver!",1,2026-06-03 08:53:04,0,"makanan, order, pesanan, driver"
Shopee Partner negatif,com.shopeepay.merchant.id,5351596d-1c6f-4e2d-b659-1aeabfddd034,Muslih Althaf,"Tolong untuk estimasi waktu mempersiapkan orderan jangan diatur sama merchant, karena yang tahu estimasi waktu itu outlet, masa pesanan sedikit dan banyak cuma dikasih waktu 5menit. di aplikasi hijau malah bisa tentuin waktu sendri jadi tidak terburu-buru dan tidak resiko salah",2,2026-06-03 07:30:47,0,"merchant, pesanan, orderan, outlet"
Shopee Partner negatif,com.shopeepay.merchant.id,f6c7dad1-d20d-4cac-a5bd-a617fc1da923,Rahmad Tritanto,shopee terlalu banyak potongan yg membuat merchant jadi buntung atau tidak ada ke untungan klw di pikir pikir merchant hanya mencarikan untung aplikasi doang udah potongan promo + potongan komisi yg sangat tinggi sampai 25% buat potongan komisi shopee harga jadi merchant hilang ke untunganya dan hanya kerja bhakti aja?????????????????????????,1,2026-06-03 01:24:20,1,"merchant, promo, komisi"
Shopee Partner negatif,com.shopeepay.merchant.id,5ef10db6-f127-4dcc-ae32-b4179e1732ae,لقمان حمزة حليل تربيات,"Aplikasi buruk, saldo saya ketahan, jangan download guys",1,2026-06-03 00:16:01,0,saldo
Shopee Partner negatif,com.shopeepay.merchant.id,988f6322-122a-4aa2-bf74-f3e133a4b91c,Yohana Priscila Rosalinda,"jujur aplikasi nya jelek banget, masa uang transaksi pembayaran qris yang ada di shopee partner saya sampai detik ini belum dicairkan?? saya sudah chat customer service tapi tidak ada tindak lanjut lebih cepat. lalu nominalnya juga tidak kecil untuk uang tersebut. jadi tolong itikad baiknya agar segera dicairkan uang di shopee partner qris saya🥹🙏🏻😭",1,2026-06-02 14:45:43,0,"transaksi, pembayaran, qris, customer"
