app_name,app_id,review_id,user_name,review_text,rating,review_date,thumbs_up_count,matched_keywords
My Super Indo,id.co.superindo.mysuperindo,9c9997e5-a41a-457c-b2d6-3a9636747e9e,niken yanik,untuk pembelian daging dan ikan jarang ada diskon,3,2026-01-18 15:33:15,0,"daging, ikan"
My Super Indo,id.co.superindo.mysuperindo,5639ca60-cbc9-44af-806f-9199ca946c3c,arifin negoro,Bagus.. Kekuranganny kadang donline ga semua ada Lebih puas belanja offline Atau lebih di perbaiki lg untk app Supaya offline/online sama2 puas belanja kebutuhan bisa ad semua.. Conth kaya sayur jgn dbatasi Tempe donline stok kosong offline banyak Ikan2 ayam dll..,3,2024-11-05 08:26:10,0,"ayam, sayur, tempe"
My Super Indo,id.co.superindo.mysuperindo,b14a66a2-e279-4bd8-8995-f6e218eb82af,Jule,Kenapa ya skrg aplikasi superindo kok bntar2 hrus di update di play store masak tiap mau buka di suruh update ..makan waktu aja klo mau buka aplikasinya,3,2024-10-10 16:04:38,4,"makan, masak"
My Super Indo,id.co.superindo.mysuperindo,5dc9ae9b-5875-4d7f-985b-23d581de3491,Indria Happy,"Usul 1. Kalau bisa ada menu belanja online, yang bisa bekerja sama dengan gojek dan gopay . 2 . Usul untuk Superindo supaya jual daging selain sapi dan ayam ( kambing, rusa) supaya ngga jenuh, 3 . Untuk menjual ikan segar hidup , selain gurami/nila , mungkin jenis ikan laut hidup segar seperti cumi , udang , kerang, dll jadi segar seperti dikorea . Semoga sarannya didengar. Makasi .",3,2024-03-12 08:43:30,1,"ayam, daging, ikan, ikan segar, udang"
My Super Indo,id.co.superindo.mysuperindo,db067871-46a1-4283-a404-644d576de0ff,Djatoen Rocketmail,"Harga nya kurang bersahaba /mahal ( coba di cek lg) , ,, dibandingkan dg supermarket yg ada di wilayah kediri,, kelebihannya menyediakan ikan n daging, segar,",3,2024-02-10 11:15:43,0,"daging, ikan"
My Super Indo,id.co.superindo.mysuperindo,8e47d918-c6b2-4f55-83f0-11dfe39fe344,Leo Rostika,Padahal di toko ada promo sirup tapi di apk gk ada promo sirup,3,2024-01-27 10:46:27,0,sirup
My Super Indo,id.co.superindo.mysuperindo,d183eab5-097a-410a-b4d2-ee2fcfb45dc5,Ruly Sasmito,Mohon kasirnya diberitahu klo brngnya berhadiah mohon lngsung diberikan atau nggak suruh ambil customer service jgn diam aja kdng pembeli ga merhatiin kmrin sya beli kecap berhadiah piring tp y a ga dikasih ingetnya smpe dirumah kadung struknya dibuang jd ya ga bsa diambil.saya kok sering keliru harga rak sama distruk kok beda jdi blanja hrs benar2 jeli &teliti strategi penjualan kali ya.maunya hemat jd boros,3,2023-06-03 16:49:04,3,kecap
My Super Indo,id.co.superindo.mysuperindo,58afafdc-ef1b-44d1-bcc2-dd9f8a39a91c,agus salim w,"Loading lambat sekali dan membosankan sekali aplikasinya, tidak banyak gunanya, tidak ada riwayat belanja, maupun poin yang bisa dikumpulkan. Tapi saya suka belanja buah di sana karena semangka, pepaya dan salaknya manis, demikian pula dagingnya. Seleksi kualitas produk segarnya bagus. Lebih bagus daripada di warung sayur dekat rumah maupun supermarket lainnya. Jadi benci campur rindu.",3,2022-10-12 06:49:49,7,"buah, sayur, dagingnya, belanja buah, pepaya"
My Super Indo,id.co.superindo.mysuperindo,e36ee7a0-599a-4210-8856-633c4fdd2259,Rumniah Hartati,"Harusnya dibuat member kayak ATM gitu, masak kalau belanja harus buka hp dulu.kadang2 sinyalnya gak bagus.",3,2022-02-04 12:43:35,5,masak
My Super Indo,id.co.superindo.mysuperindo,f50116c4-00ad-4ce3-8347-b8d50a1ed676,Siti Ajah,Dikirain app buat belanja online. Padahal sudah senang mikir beli beras ga repot. Ya sudah lah saya hapus. Balik lagi pakai gojek buat belanja. Walaupun harganya lumayan beda jauh dan cuma bisa belanja sedikit sedikit. Abang gojek ngomel kalau belanjaan kebanyakan.,3,2021-06-03 09:55:35,60,beras
My Super Indo,id.co.superindo.mysuperindo,38c3dbba-12ea-4622-a8d2-ac753ecc2c95,Yeyeh Hoiriah,Kecewa promo minyak pernah beli tidak sesuai pas bayar di kasir...sayang saya periksa struk di rumah,3,2021-04-18 08:13:33,0,minyak
My Super Indo,id.co.superindo.mysuperindo,adf6be77-64f3-4d15-9e7a-3350e47c9075,Tini Kartini,jd tahu klau ada promo,3,2021-01-19 14:58:43,0,tahu
My Super Indo,id.co.superindo.mysuperindo,705ec9db-b7e8-4f60-9004-6661028d9a77,Nias Purwanti,Kadang harga terbaru ga diganti...kaya kmrn pernah beli telur harga tertera sama kasir beda..waktu complain lama jwbnya nunggu dikasir..ehh tau2 harga di counter telur langsung diganti padahal saya nunggu lama unt penjelasan harganya...agak nyesel juga nungguin malah ga dijawab..balik kecounter liat karyawan ganti itu harga jadi tambah ndongkol kok ga ngasih penjelasan kecustomer dl,3,2020-11-16 20:54:59,1,telur
My Super Indo,id.co.superindo.mysuperindo,6a137e75-57ce-4f89-a8d3-f9157cc7ecd8,Affidah Warsito,Loadingnya lama. Buka aplikasi bareng buka kemasan mie instan. Nunggu loading sambil nunggu mie nya di rebus sampai mie nya matang..tuh aplikasi belum kebuka juga.. Ampun deh. Lola kamal,3,2020-11-12 23:02:32,0,"mie, mie instan"
