split,label,precision,recall,f1-score,support
validation,Negative,0.8202344767694312,0.7085521380345087,0.7603139464681022,2666.0
validation,Neutral,0.7087854392719636,0.7604205782951559,0.7336956521739131,2663.0
validation,Positive,0.8318521151795236,0.8850226928895613,0.8576140736668499,2644.0
validation,macro avg,0.7869573437403061,0.7846651364064087,0.7838745574362883,7973.0
validation,weighted avg,0.786862878763728,0.7843973410259626,0.7836899678663292,7973.0
test,Negative,0.8149266609145815,0.7096168294515401,0.7586345381526104,2662.0
test,Neutral,0.7043871866295265,0.7593843843843844,0.7308526011560693,2664.0
test,Positive,0.8351216022889842,0.8778195488721805,0.8559384164222874,2660.0
test,macro avg,0.7848118166110307,0.7822735875693683,0.7818085185769891,7986.0
test,weighted avg,0.78477907571054,0.782243926872026,0.7817771923021916,7986.0
