split,label,precision,recall,f1-score,support
validation,Negative,0.8548695098663271,0.8022700119474313,0.8277349768875193,1674.0
validation,Neutral,0.7737268518518519,0.8001196888090963,0.7867019711679906,1671.0
validation,Positive,0.817016317016317,0.8395209580838323,0.8281157708210277,1670.0
validation,accuracy,0.8139581256231306,0.8139581256231306,0.8139581256231306,0.8139581256231306
validation,macro avg,0.8152042262448319,0.8139702196134534,0.8141842396255125,5015.0
validation,weighted avg,0.8152275928968945,0.8139581256231306,0.8141895677771757,5015.0
test,Negative,0.848093083387201,0.7851585876720527,0.8154133001864512,1671.0
test,Neutral,0.7557339449541285,0.7882775119617225,0.7716627634660421,1672.0
test,Positive,0.8137369033760187,0.8391356542617047,0.8262411347517731,1666.0
test,accuracy,0.8041525254541825,0.8041525254541825,0.8041525254541825,0.8041525254541825
test,macro avg,0.8058546439057827,0.8041905846318266,0.8044390661347555,5009.0
test,weighted avg,0.8058367696801284,0.8041525254541825,0.8044107597570845,5009.0
