Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
suara dan mic puas hanya saya pesan yg nyala dan sudah sy pastikan lg klik yg nyala tp yg datang ga nyala,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
good mudah mudahan awet makasih,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
kondisi dus robek2 tolong di perhatikan lagi,unknown,2,Multi-platform,Negative,Lainnya,Yes,Lainnya,No
overall bagus tombol berfungsi semuanya tapi packaging kurang karena sudah penyot dan robek sedikit,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
produk ini original dan kualitasnya sangat baik kecepatan pengiriman sanagt cepat recommended seller,unknown,5,Multi-platform,Positive,Bentuk,No,Fashion,No
kualitas sangat jelek bocor,unknown,2,Multi-platform,Negative,Bentuk,No,Fashion,No
terimakasih banyak ka ya barang sudah diterima dengan baik sukses terus ka,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
body nya lebih berat dari cm spiral nya lebih tipis dibanding cm semoga awet beli cm penasaran aja yang cm udah mau rusak mesin nya harga lebih murah 4k dari cm fast delivery courier ramah sangat ty seller,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
pesanan di terima tanggal january tetapi baru bisa saya buka pagi ini tanggal january pukul dan ternyata tab sketsa advan tidak bisa di nyalakan sama sekali dan di cas juga posisi tab tidak bisa menyala,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
perlu ditingkatkan packagingnya masak iya pake clear wrap aja paling nggak kan dimasukin ke kantong plastik dulu lah baru di wrap so far tidak ada keluhan untuk produknya harga bersaing,unknown,2,Multi-platform,Negative,Rasa,No,Elektronik,No
barang bagus hanya sepertinya tidak di cek dulu ya ada baut yg hilang jadinya harus cari ke bengkel pengiriman oleh kurir cepat banget,unknown,3,Multi-platform,Neutral,Rasa,No,Lainnya,No
barang berfungsi dengan baik kardus nya agak rusak dan penyok penyok akibat pengiriman mungkin padahal untuk dihadiahkan ke orang lain,unknown,3,Multi-platform,Neutral,Lainnya,No,Lainnya,No
bagus bangett sukaaa,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
pengiriman sangat cepat cuma hari barang berpungsi sangat baik cuma packingnya aja yg kurang aman untungnya semua barangnya gak ada yg cacat sedikitpun,unknown,2,Multi-platform,Negative,Lainnya,Yes,Elektronik,No
mantap banget sih cuman kayaknya buat main game agak kurang karena aim accurate atau kursor nya agak goyang kalo buat kerja atau sehari hari masih oke jadi kalo mau gaming musti yang khusus untuk gaming overall oke banget dan di tampilan kelihatan formal dibanding buat sehari hari sih ya agak slim lebih enak untuk sebagian orang mungkin makasih kak seller ekspedisi dan tokopedia,unknown,3,Multi-platform,Neutral,Rasa,No,Elektronik,No
daya tidak sesuai dengan deskripsi dideskripsi tertulis 300w tapi barang tertulis 400w krn saya tidak drmh baru buka paketan setelah semingguan barang diterima jd saya kecewa nb deskripsi amp spec barang yang dijual harusnya sama agar tidak membuat customer kecewa fotonya jg perlu diperbarui karena tidak sama mohon perhatikan sarannya untuk perbaikan toko bukan cm bisa mencela customer,unknown,2,Multi-platform,Negative,Lainnya,Yes,Elektronik,No
ad sompel di dlm panciny,unknown,5,Multi-platform,Positive,Lainnya,No,Perabotan,No
keren dah mantap kirain besar ternyata kecil tp gapapa barang ok,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
tombolnya susah kemna pengembalianya,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
masyaallah barang bagus proses ke pengiriman lama recommended seller,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
barang original pengiriman cepat aman,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
baru dipake sehari udah gabisa karena besi tempat baterainya lepas,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
barang sudah sampai produk bagus terima kasih yaa suka banget mantapp jiwa,unknown,5,Multi-platform,Positive,Rasa,No,Lainnya,No
pesanan datengnya super cepat beli pcs malah setelah unboxing dlmnya elegan bagus dan sesuai gambar sayang packingnya gak memadai cuma dibiarin terbuka dan gk dibungkus plastik buble wrap tolong lbh diperhatikan utk packingannya,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
respon seller cepet bgt barang nya oke sesuai deskripsi thx u,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
udh smpai termosnya naaa ini bru termos bne2 aernya tetep pns didalam,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
be a smart buyer ku minta kirim hari itu langsung dikirim besok nya lsg nyampe dan sudah cek kualitas dan orisinil nya bagus dan ori udah ke2 x beli mantap pokoknya,unknown,5,Multi-platform,Positive,Bentuk,No,Fashion,No
barangnya bagus puas yang kurang puas di proses ordernya lamaa untuk proses kirimnya cepat barang aman karena dibubble wrap juga,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
proses packing nya agak lama alhamdulillah barang nya oke bgt cm packingnya hanya bubble wrap aja mgkn biar pihak ekspedisi nya gak banting2,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
belum dicoba nunggu antenanya dateng dulu mudah2an berfungsi dengan baik awet seller juga ramah dan informatif nanyain jenis yg pas utk type tv ku dibalas dengan baik dan sopan makasih,unknown,5,Multi-platform,Positive,Bentuk,No,Elektronik,No
penyok donk tp kayanya kurirnya yg salah padahal disitu ada tulisan jgn dibanting untung masih berfungsi dengan baik,unknown,2,Multi-platform,Negative,Lainnya,Yes,Fashion,No
baru pesen kemarin hr ini udah sampe aja mousepadnya cukup bagus ty seller,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
knpa tekonya tidak bersiul ya,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
saya kecewa banget di toko inih,unknown,2,Multi-platform,Negative,Lainnya,Yes,Lainnya,No
nyaring nya kecil udh gtu gagang nya panas bkan merk maspion,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
pengiriman lama kalau bisa ga usah pake shopee express sisanya aman semua mantap,unknown,2,Multi-platform,Negative,Rasa,No,Lainnya,Yes
super fast response order nggak nyampe jam barang nyampe,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
mouse ga connect,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
respon penjual ok barang sesuai pesanan muantap,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
barang sy dr tgl 29des smpai hr ini tdk smpai2 sy bayar ongkir ekspres sampai hri yg sama tp nyatanya mengecewakan ga layak ada di lazada,unknown,2,Multi-platform,Negative,Harga,Yes,Lainnya,No
bonus nya pul tokonya amanah terima kasih belum di coba terima kasih lazada,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
barang sampai dengan aman dengan keadaan lengkap dan bagus,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
barangnya bagus berfungsi dan mantap cuma kecewa sama jasa pengirimannya aja sih,unknown,2,Multi-platform,Negative,Rasa,Yes,Lainnya,Yes
ditukar pkt sdh sampai to lngsung diambil pelanggan jd tdk ada foto unboxing,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
bagus hanya saja tidak sesuai iklan yg di tampilkan ada dual layar,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
salah warna seharusnya wrna pink datangnya wrna biru pengemasan kurang baik yg punyaku penyok,unknown,2,Multi-platform,Negative,Bentuk,Yes,Lainnya,No
maaf baru kasihh ulasan barang bagus pakingnya rapih gk smpet foto soal aq nya d bndung,unknown,5,Multi-platform,Positive,Bentuk,No,Elektronik,No
barang sudah diterima dengan baik tapi pengiriman sedikit lama karena sabtu gak ada pengirman barang sesuai dengan deskripsi,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
barang bagus tapi kok pas dipake tabungnya kurang muter jd ujung2nya pake manual deh alias pake tangan ken mangkoknya gak muter,unknown,2,Multi-platform,Negative,Bentuk,No,Perabotan,No
pengiriman lama karna pake sicepat untungnya sampe tepat waktu,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
lucu bgt seduniaaaaaaa woiii semoga makin semangat skripsian,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
barang ada penyok di beberapa bagian tapi ga begitu parah gw ga tau ini dari sellernya udh penyok atau pas proses pengirimannya keamanan hanya bubble wrap sedikit yang jd kemungkinan penyebab penyok cat di dalamnya seperti doff bukan mengkilap gw ga tau yg bagus yang mana pokonya gw review aja dan seller respon chat cepat cukup lah ya,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
barang masih kurang gir yg kecil,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
kurir slah alamat ngirim paketnya bikin orang bingung gk mau nlfon yg punya paket akhirnya barang ditangan juga alhamdulillah setelah keliling tanya barangkali ada paket nyasar terimakasih,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
dichat aja kgk di balas padahal lg online auto bintang deh,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
berfungsi baik cm agak heran seler di bekasi kok mampir kecakung dl ya,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
pengiriman agak lama karna terkendala ppkm pdhl sesama jkt total 3hari sampai diterima mungkin kedepannya ditingkatkan lagi untuk proses pengiriman untuk barang ok,unknown,3,Multi-platform,Neutral,Lainnya,No,Elektronik,No
mantap packingan aman banget gak ada yang lecet dan mouse berfungsi dengan normal,unknown,5,Multi-platform,Positive,Rasa,No,Elektronik,No
paket udh d terima cuma aga penyok makasih lazada,unknown,2,Multi-platform,Negative,Lainnya,Yes,Lainnya,No
kerdusnya penyok untung panci tutup kacanya ga ada yg pecah,unknown,2,Multi-platform,Negative,Lainnya,Yes,Elektronik,No
mantap cepat dan akurat,unknown,5,Multi-platform,Positive,Rasa,No,Lainnya,No
ada garansi toko barangnya original asli karya anak bangsa,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
bagus gamepad nyaa semoga awet,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
setelah barang datang harga tdk sesuai dengan yg tertulis diaplikasi mengecewakan sekali tdk sportif,unknown,2,Multi-platform,Negative,Harga,Yes,Elektronik,No
