Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
diterima dengan baik semua ok ini pembelian speaker pms ke,terima ok beli speaker pms,unknown,5,Multi-platform,Positive,Lainnya,No,Elektronik,No
tampilan ergonomis performa praktis kualitas ekonomis kekurangan kursi arm rest yg 1d dan pad terbuat dr plastik sehingga kurang nyaman di tangan,tampil ergonomis performa praktis kualitas ekonomis kurang kursi arm rest pad buat dr plastik nyaman tangan,unknown,2,Multi-platform,Negative,Bentuk,No,Perabotan,No
stb ok banget yg gak ok seller nya nih padahal official store pertanyaan2 ga dijawab pengiriman sampai minggu sampai ganti resi yg awal gagal pickup terus selama hari packaging seadanya kardus penyok2 mending cari seller lain deh kalo gak mau nunggu lama,stb ok banget ok jual official store kirim ganti gagal pickup kemas ada kardus penyok mending cari jual kalo nunggu,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
barangnya original kemasan disegel spesifikasi sesuai ada garansi resmi kelengkapan sesuai warna sesuai pesanan barangnya mulus berfungsi dengan baik suara jernih kamera tajam baterai awet penjualnya ramah banget proses pesanan cepat packaging aman packaging rapi,original kemas segel spesifikasi sesuai garansi resmi lengkap sesuai warna sesuai pesan mulus fungsi suara jernih kamera tajam baterai awet jual ramah banget proses pesan cepat kemas aman kemas rapi,unknown,5,Multi-platform,Positive,Bentuk,No,Elektronik,No
customer service ecommerse nya gak responsif susah kalau mau followup pengiriman dll,customer service ecommerse responsif susah followup kirim dll,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
pemgiriman cepat kata ya estimasi maks 7hr trmya ga smpe 4hr udh smpe belum dicoba produk original tinggal ngoprasiin aja semoga awet,pemgiriman cepat estimasi maks hr trmya smpe hr smpe coba original tinggal ngoprasiin aja moga awet,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
kotak dalemnya kotor bgt bekas apa gmn yh,kotak dalem kotor banget bekas gimana yh,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
cocoklah buat yg low badget tapi mau punya hp android baterainya juga bukan baterai tanam jadi kalau ada masalah baterai bisa langsung ganti baterai tanpa harus di bongkar mantul lah,cocok low badget hp android baterai baterai tanam baterai ganti baterai bongkar mantul,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
tidak rekomendasi kulkas nya bermasalah dipake kurang lebih sebulan udah seminggu dipake kulkasnya bunyi cetak cetok pas bunyi pertama kompresor nya ga getar cuman anget doang kulkasnya ga dingin terus pas bunyi lagi baru kompresor nya geter lagi kulkasnya dingin kemungkinan yg bermasalahnya di kondesor nya ga ngalirin panas,rekomendasi kulkas masalah dipake bulan minggu dipake kulkas bunyi cetak cetok pas bunyi kompresor getar cuman anget doang kulkas dingin pas bunyi kompresor geter kulkas dingin masalah kondesor ngalirin panas,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
barang cepat sampai dalam hari,cepat,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
respon penjual sangat lama bahkan di chat tidak membalas sama sekali tidakada respon,respons jual chat balas tidakada respons,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
pengiriman cpt sesuai harga blom dicoba buat game si tp nice,kirim cepat sesuai harga coba game si bagus,unknown,3,Multi-platform,Neutral,Harga,No,Lainnya,No
bagus pengiriman cepat,bagus kirim cepat,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
gak ada bonusnya gannnnn yg lain ko dapet bonus ea padahal saya beli dua g ada yg dapet bonus,bonus gannnnn ko dapet bonus ea dapet bonus,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
pas nyampe kerdus penyok2 untuk barang baguss sihhh plastik buble nya cmn dikit takut kenapa napa oke kokkkk thank u,pas kerdus penyok bagus sihhh plastik buble cmn dikit takut napa ok kokkkk thank,unknown,2,Multi-platform,Negative,Bentuk,Yes,Lainnya,No
sampai dengan selamat dan jgdsigrkvauckywwkbs gsjvk vigfivsem,selamat jgdsigrkvauckywwkbs gsjvk vigfivsem,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
alhamdulillah paketnya sudah diterima berfungsi dgn baik puas pelayanan seller fast respon amanah next order,alhamdulillah paket terima fungsi puas layan jual fast respons amanah next,unknown,5,Multi-platform,Positive,Lainnya,No,Perabotan,No
fitur terbaik sesuai pengirimannya lama banget admin kurang responsif baru di followup lah respon,fitur baik sesuai kirim banget admin responsif followup respons,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,Yes
dipesan tgl nov sampai rumah tgl nov kesel admin nya ngga respon sama sekali tapi pas status berubah jadi dikirim sampai nya cuma hari tapi terobati parahhhh krn dicoba lgsg bisaaaaa tanpa harus pake kabel hdmi antena dalem jg bisa dan gambar nya jernih banget thank you seller,pes tgl nov rumah tgl nov kesel admin respons pas ubah obat parahhhh coba lgsg bisaaaaa pakai kabel hdmi antena dalem jernih banget thank you jual,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
barang sempai degn selamat kualitas ok ori pengiriman cepat reseler ramah kurir ramah,sempai degn selamat kualitas ok original kirim cepat reseler ramah kurir ramah,unknown,5,Multi-platform,Positive,Bentuk,No,Elektronik,No
fitur terbaik sesuai mantap,fitur baik sesuai bagus,unknown,5,Multi-platform,Positive,Rasa,No,Lainnya,No
seller ramah minta rekomen langsung dikasi packing aman mantap,jual ramah rekomendasi kasi packing aman bagus,unknown,5,Multi-platform,Positive,Rasa,No,Elektronik,No
sepadan dengan harga sepadan fitur terbaik suara lumayan,padan harga padan fitur baik suara lumayan,unknown,3,Multi-platform,Neutral,Harga,No,Lainnya,No
pesen tanggal september sampe barang tanggal oktober dong dari toko baru di proses tanggal oktober bener bener deh nih toko padahal pengiriman ke jakarta engga ada juga penjelasan kapan barang sampe tujuan emg kerjaan kita cuma tunggu barang yang engga tau dateng kapan,sen tanggal september sampe tanggal oktober proses tanggal oktober bener bener kirim jakarta engga jelas sampe tuju kerja tunggu engga tau dateng,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
allhmdulillah dtg dgn slamat tnpa cacat tpi blom di coba mudh2an amaann,allhmdulillah dtg slamat tnpa cacat coba mudh an amaann,unknown,5,Multi-platform,Positive,Lainnya,No,Elektronik,No
blendernya bagus tapi stik buat penggiling bumbu basahnya patahh semoga kedepannya lbh amanah ya ka tapi selebihnya aku suka bgtt si sama blendernya,blender bagus stik giling bumbu basah patahh moga depan amanah ka lebih suka bgtt si blender,unknown,2,Multi-platform,Negative,Rasa,No,Elektronik,No
bagus berfungsi dg baik tp agak berisik kl malem bs bangunin org tidur,bagus fungsi berisik malem bangunin tidur,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
mantap respon sellernya langsung kirim,bagus respons sellernya,unknown,5,Multi-platform,Positive,Rasa,No,Lainnya,No
fitur terbaik nyaman di pakai bagus,fitur baik nyaman pakai bagus,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
makasih kak pesenan sudah sampai,kasih kak sen,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
fitur terbaik memasak dang menghangatkan sepadan dengan harga sesuau paking aman pake kayu mantap,fitur baik masak dang hangat padan harga sesuau paking aman pakai kayu bagus,unknown,5,Multi-platform,Positive,Rasa,No,F&B,No
