Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm,Dataset_Source,Data_Split
Beda dengan yg 170i. Gan ini apa bedanya dgn yg sharp aquos 170i ya?,beda 170i gan beda sharp aquos 170i,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
masih berfungsi dengan baik. tanpa kendala dan error,fungsi kendala error,27 Agu 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
mnatap barangnya datang semoga lancar saat di coba nanti packing baik barangnya bagus,mnatap barang moga lancar coba packing barang bagus,01 Apr 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"mantulll bukan beli merk tpi bli barang,, pokok nya no cacat,sesuai picture",mantulll merk bli pokok no cacat sesuai picture,09 Sep 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
pengirimanya rada lama. pesananya d trima rda lama .. wktund trima brang d bungkus sangat rapi dgn menggunakan kayu.. pas d coba barang lumayan bgus tetapi bergantian salurannya rda lama,pengirimanya rada sana trima rda wktund trima brang bungkus rapi kayu pas coba lumayan bgus ganti salur rda,29 Jun 2018,3,Lazada,Neutral,Bentuk,No,Elektronik,No,Lazada,train
Mantap gan... respon cpt... packing aman... TOP,bagus gan respon cpt packing aman top,unknown,5,Multi platform,Positive,Rasa,No,Lainnya,No,Dipawidia,train
Ac nya panas..,ac panas,2025-10-12T15:21:07.162Z,5,Google Maps,Positive,Lainnya,No,F&B,No,GoogleMaps,train
1hari sampe. Paking rapih mantaf...,1hari sampe paking rapih mantaf,26 Sep 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
Mohon informasinya kenapa waktu dihubungkan dari CPU komputer ke monitor pakai kabel VGA kok ngak konek yah ? Apalagi pakai kabel HDMI to VGA tidak bisa tersambung,informasi waktu hubung cpu komputer monitor pakai kabel vga ngak konek yah pakai kabel hdmi to vga sambung,20 Agu 2019,5,Lazada,Positive,Rasa,No,Elektronik,No,Lazada,train
"alhamdulillah paket sudah diterima dengan aman, terima kasih lazada",alhamdulillah terima aman kasih lazada,12 Jul 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"Bagus. Pesan hari ini besok nyampe,barangnya juga sesuai gambar...makasih",bagus besok nyampe barang sesuai terima kasih,2019-10-02,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
amazing - pelayanan maya,amazing layan maya,2026-02-16T14:13:44.888Z,5,Google Maps,Positive,Lainnya,No,F&B,No,GoogleMaps,train
"Alhamdulillah barang sudah sampai dengan selamat,,blm d coba mudah2 bagus dan awet terimakasih lazada",alhamdulillah selamat coba mudah2 bagus awet terimakasih lazada,unknown,5,Multi platform,Positive,Bentuk,No,Lainnya,No,Dipawidia,train
bangus banget asli tidak mengecewakan,bangus banget asli kecewa,03 Sep 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
tahap test produk. masih tahap test dlu ya..,tahap test tahap test dlu,24 Nov 2017,3,Lazada,Neutral,Lainnya,No,Elektronik,No,Lazada,train
Semoga awet yah,moga awet yah,08 Agu 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"kerang nya sangat enak, pelayanan mba maya sangat okee",kerang enak layan mba maya okee,2026-03-24T12:32:47.314Z,5,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
barang bagus,bagus,21 Jan 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
