Column_Name,Non_Empty_Count,Completeness_Percent,Example_Values
title,10864,100.0,Amanaia Menteng | Bandar Djakarta Bekasi | Aroem Resto & Cafe Bekasi | Double U Steak by Chef Widhi Bekasi | Kampung Kecil Depok Sawangan
stars,10864,100.0,5 | 4 | 3 | 1 | 2
text,7282,67.03,"The place is nice and clean. The foods are great. Very recommended! | Good Place

Pertahankan Kualitas | Makanannya enak, vibesnya juga enak, trus kalo mau buat private event juga bisa karena dia ada ruangan2nya. | Semua makanan nya enak, pelayanannya baik, tempatnya juga bagus | suasananya oke..nyamuk nya yg perlu berteman"
publishedAtDate,10864,100.0,2026-05-14T00:48:34.166Z | 2026-05-13T14:08:30.051Z | 2026-05-13T13:13:45.123Z | 2026-05-13T07:36:48.501Z | 2026-05-13T00:07:49.775Z
likesCount,10864,100.0,0 | 1 | 3 | 4 | 2
name,1864,17.16,Bagus Hendra | dp | Nunik Anggraini | Indah P | Mel
reviewerNumberOfReviews,10864,100.0,9 | 0 | 6 | 4 | 29
isLocalGuide,10864,100.0,true | false
responseFromOwnerDate,2094,19.27,2026-05-11T08:06:47.000Z | 2026-05-11T08:09:15.000Z | 2026-05-11T08:06:49.000Z | 2026-05-11T08:09:03.000Z | 2026-05-11T08:06:52.000Z
responseFromOwnerText,2094,19.27,"Terima kasih atas penilaiannya. | Halo Ibu Retno EzAlief,

Terima kasih atas kunjungan dan ulasan yang positif untuk Amanaia.
Semoga Ibu dan keluarga sehat selalu, kami nantikan kunjungannya kembali. | Halo Ibu Gressella Hutasoit,

Terima kasih atas kunjungan dan ulasan yang positif untuk Amanaia.
Semoga Ibu dan keluarga sehat selalu, kami nantikan kunjungannya kembali. | Halo Ibu Yastin Nurfauziah,

Sebelumnya terima kasih atas kunjungan dan ulasan yang diberikan. Kami mohon maaf sebesar-besarnya atas kejadian kurang berkenan yang Ibu alami, segera kami lakukan penanganan terkait ini agar hal demikian tidak terulang kembali. Sebagai bentuk komitmen kami dalam mengutamakan kepuasan pelanggan, jika Ibu berkenan mohon hubungi kami melalui email: amanaia.adm@gmail.com untuk kami tindak lanjuti.
Sekali lagi kami mohon maaf, semoga sehat selalu.
Terima kasih | Hello Mrs Oktav Oktav1,

Thank you for your visit and for the review you shared about Amanaia.
We wish you and your family good health, and we look forward to welcoming you again."
originalLanguage,7320,67.38,en | id | hmn | ar | ms
publishAt,10864,100.0,1 jam lalu | 12 jam lalu | 18 jam lalu | 1 hari lalu | 2 hari lalu
rating,0,0.0,
reviewId,10864,100.0,Ci9DQUlRQUNvZENodHljRjlvT2kxMWJYbzJlblZ3V0ZWalJWaHdjVzFTTFc1c1psRRAB | Ci9DQUlRQUNvZENodHljRjlvT214WU16aDJUblp2YW5vMVV6UllhMWxMVkdWSFRYYxAB | Ci9DQUlRQUNvZENodHljRjlvT2tGcmIxSndOMUJxTFZkZlRuaGxVakV5UjFGYWRVRRAB | Ci9DQUlRQUNvZENodHljRjlvT21obVlWOU9UakZVZWw5T1NUUTNhRlJIZG5aRGIwRRAB | Ci9DQUlRQUNvZENodHljRjlvT2xoemFXMVVabkl4U1hwMVREWnBVMFUyUTJOTlJVRRAB
reviewOrigin,10864,100.0,Google
reviewUrl,1864,17.16,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25ONGJtRkxSREJUTTNabVRrRXRlbXBRTWtSQ1ZGRRAB!2m1!1s0x0:0x446f096aa4eafc1!3m1!1s2@1:CAIQACodChtycF9oOnN4bmFLRDBTM3ZmTkEtempQMkRCVFE%7C%7C?hl=id | https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GMVJFeFVWR3BqVkVKaVVWUnJVVUYyWmtaMFNuYxAB!2m1!1s0x0:0x446f096aa4eafc1!3m1!1s2@1:CAIQACodChtycF9oOmF1RExUVGpjVEJiUVRrUUF2ZkZ0Snc%7C%7C?hl=id | https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VOM2Rwc1NSZ3QzZUt3EAE!2m1!1s0x0:0x446f096aa4eafc1!3m1!1s2@1:CIHM0ogKEN3dpsSRgt3eKw%7C%7C?hl=id | https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSNXBHQWxnRRAB!2m1!1s0x0:0x446f096aa4eafc1!3m1!1s2@1:CIHM0ogKEICAgIDR5pGAlgE%7C%7C?hl=id | https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQtNi12ME1nEAE!2m1!1s0x0:0x446f096aa4eafc1!3m1!1s2@1:CIHM0ogKEICAgID-6-v0Mg%7C%7C?hl=id
reviewerId,1864,17.16,117763812894165553966 | 103866248729042554190 | 106423572803267316376 | 101588337146373392565 | 101768854942630490919
reviewerPhotoUrl,1864,17.16,https://lh3.googleusercontent.com/a/ACg8ocIQK7bjtOU0-JAqNp0dfiPmOjFXjgntVeboIwKCJVRhtcE_jnQ=s1920-c-rp-mo-br100 | https://lh3.googleusercontent.com/a/ACg8ocIwCTKmyxMQjJvQJx-EOjA5_be6P1GSw1Ikpd5yMwn8Vj9OmA=s1920-c-rp-mo-ba5-br100 | https://lh3.googleusercontent.com/a/ACg8ocLcjYGAxk3bO5lmv03LoJaQDc_xw3LYpiV3NEIMdAYdlkDnDg=s1920-c-rp-mo-br100 | https://lh3.googleusercontent.com/a-/ALV-UjVHYfIAfNZLnHsAkHkmKe5ZXKI2poUer_c20uk266cDBq-GCwgF=s1920-c-rp-mo-ba4-br100 | https://lh3.googleusercontent.com/a-/ALV-UjWYZ-sG8rgAQl0m5h_fQvK6JepoFeflBerPjGF4z61FWW3bzk37=s1920-c-rp-mo-ba3-br100
reviewerUrl,1864,17.16,https://www.google.com/maps/contrib/117763812894165553966?hl=id | https://www.google.com/maps/contrib/103866248729042554190?hl=id | https://www.google.com/maps/contrib/106423572803267316376?hl=id | https://www.google.com/maps/contrib/101588337146373392565?hl=id | https://www.google.com/maps/contrib/101768854942630490919?hl=id
textTranslated,867,7.98,"Tempatnya bagus dan bersih. Makanannya enak. Sangat direkomendasikan! | Suasana nyaman dan menyenangkan di tengah Kota Jakarta, makanan lezat dengan ruang pribadi, cocok untuk rapat sambil makan siang atau makan malam. | Bersantap di sini terasa seperti menemukan permata tersembunyi di mana setiap detailnya dirancang dengan penuh pertimbangan. Mulai dari sambutan hangat di pintu hingga hidangan yang disajikan dengan indah, pengalamannya selalu luar biasa. Para tamu memuji cita rasa yang seimbang sempurna, bahan-bahan segar berkualitas tinggi, dan pelayanan penuh perhatian yang membuat setiap orang merasa dihargai tanpa mengganggu. Suasana memadukan keanggunan dan kenyamanan dengan mudah, menjadikannya ideal untuk acara-acara khusus maupun makan malam santai. Banyak pengunjung menggambarkannya sebagai tempat yang selalu melampaui ekspektasi setiap kali berkunjung — restoran yang direkomendasikan dengan antusias dan selalu ingin dikunjungi kembali. | Pelayanan dan makanan yang baik. | Pelayanan cepat. Porsi cukup. Harga agak tinggi."
translatedLanguage,885,8.15,id
visitedIn,0,0.0,
