Review_Text,Review_Date,Rating_Score,Platform_Source,Business_Category,Business_Name
The place is nice and clean. The foods are great. Very recommended!,2026-05-13T14:08:30.051Z,5,Google Maps,F&B,Amanaia Menteng
Good Place Pertahankan Kualitas,2026-05-13T13:13:45.123Z,5,Google Maps,F&B,Amanaia Menteng
"Makanannya enak, vibesnya juga enak, trus kalo mau buat private event juga bisa karena dia ada ruangan2nya.",2026-05-13T00:07:49.775Z,5,Google Maps,F&B,Amanaia Menteng
"Semua makanan nya enak, pelayanannya baik, tempatnya juga bagus",2026-05-12T12:16:28.645Z,5,Google Maps,F&B,Amanaia Menteng
suasananya oke..nyamuk nya yg perlu berteman,2026-05-12T12:05:12.241Z,5,Google Maps,F&B,Amanaia Menteng
"Nice ambiance with cozy atmosphere in the middle of Jakarta City, delicious food with private room, good for meetings while having lunch or dinner",2026-05-11T15:55:23.076Z,5,Google Maps,F&B,Amanaia Menteng
Cs ida topp ramah sekali,2026-05-10T13:52:04.725Z,5,Google Maps,F&B,Amanaia Menteng
"“Amanaia terbaik di Green Terrace! Makanannya enak dan pelayanannya cepat 👍🏼👍🏼 Pelayanannya juga sangat membantu, terutama Mas Riki yang sigap dan ramah. Pesanan datang dengan cepat. Sangat puas, pasti akan kembali lagi!” 👍🏼👍🏼👍🏼",2026-05-10T07:25:16.052Z,5,Google Maps,F&B,Amanaia Menteng
"Pesen ayam lengkuas 38k 1 potong paha kecil cenderung hambar rasanya sangat tidak worthed Pesen cumi cabe garam 128k isi lumayan rasa enak better daripada ayam Pesen es teler 48k, esnya banyak isi sedikit Ruangan outdoor banyak nyamuk, pas panggil waitress pertama diabaikan tapi panggil lagi baru disamperin Service lumayan oke, cuma rata² pada kurang senyum aja kecuali satpam sama pelayan bagian depan udh ramah.",2026-05-10T04:31:29.069Z,3,Google Maps,F&B,Amanaia Menteng
"Dining here feels like discovering a hidden gem where every detail is thoughtfully crafted. From the warm welcome at the door to the beautifully presented dishes, the experience is consistently exceptional. Guests rave about the perfectly balanced flavors, fresh high-quality ingredients, and attentive service that makes everyone feel valued without being intrusive. The atmosphere blends elegance and comfort effortlessly, making it ideal for both special occasions and relaxed dinners. Many diners describe it as the kind of place that exceeds expectations every single visit — a restaurant people eagerly recommend and can’t wait to return to.",2026-05-09T12:07:30.128Z,5,Google Maps,F&B,Amanaia Menteng
Good service and foods,2026-05-09T10:36:17.681Z,5,Google Maps,F&B,Amanaia Menteng
"Semua makanan yg disajikan enak, bersih, ikan2nya segar, pelayanan ramah, bener2 rekomended apalagi utk ajak keluarga dan rekan kerja kesini. Saya pasti akan berkunjung lagi",2026-05-09T05:48:53.312Z,5,Google Maps,F&B,Amanaia Menteng
Sangat Amat senang,2026-05-08T11:39:07.900Z,5,Google Maps,F&B,Amanaia Menteng
Fast serving. Fair portion. Slightly high price,2026-05-07T14:34:54.897Z,5,Google Maps,F&B,Amanaia Menteng
Makanan Enak dan Suasana Nyaman dan Bersih,2026-05-07T12:57:42.479Z,5,Google Maps,F&B,Amanaia Menteng
"Good food, ambience is also good. Children can play in the Saung",2026-05-04T03:24:23.233Z,5,Google Maps,F&B,Amanaia Menteng
"Tempat bagus,makanan enak,pelayanan bagus banget,,,cocok untuk makan bersama keluarga",2026-05-03T12:51:09.895Z,5,Google Maps,F&B,Amanaia Menteng
"Tempat,makanan,pelayanan sdh ok semua,,,recommended",2026-05-03T12:48:19.320Z,5,Google Maps,F&B,Amanaia Menteng
Nyaman buat kongkow kongkow..terutama buat Kawula muda....hehe..,2026-05-03T09:27:11.466Z,5,Google Maps,F&B,Amanaia Menteng
Coming for my cousin's wedding. It's wonderful,2026-05-02T08:53:14.159Z,5,Google Maps,F&B,Amanaia Menteng
"Makanannya lezat sesuai selera , suasana nyaman dan damai , hijau , ada kolam ikan besar seperti di pedesaan",2026-05-01T09:15:52.700Z,5,Google Maps,F&B,Amanaia Menteng
"Good service, highly recomended",2026-04-29T06:56:02.034Z,5,Google Maps,F&B,Amanaia Menteng
Warung makan elit tengah kota,2026-04-29T06:14:18.748Z,4,Google Maps,F&B,Amanaia Menteng
Makan bareng ber 25 bareng temen kantor...,2026-04-29T04:55:06.512Z,4,Google Maps,F&B,Amanaia Menteng
"Satu-satunya restoran di tengah Jakarta yang bisa bikin lo lupa lagi di Jakarta. Danau koi, saung kayu, suara burung, udara segar — semuanya di dalam satu properti di tengah keramaian Menteng. Makanannya juga tidak mengecewakan: gurame goreng crispy, udang bakar, dan berbagai masakan Indonesia yang segar. Ada saung privat yang bisa dipesan dengan minimum spend. Staf ramah dan responsif. Satu catatan: beberapa menu kadang sudah habis lebih awal, jadi idealnya reservasi dan pesan menu favorit di awal.",2026-04-29T03:54:20.448Z,5,Google Maps,F&B,Amanaia Menteng
View area saung dan car Park seperti di pedesaan,2026-04-26T14:17:53.885Z,5,Google Maps,F&B,Amanaia Menteng
"Saya ke sini bersama keluarga, reservasi di saung. Tempatnya nyaman, adem, tertutup kaca tapi bisa dibuka mengarah ke air yang banyak ikannya. Seru bisa sambil kasih makan ikan koi. Pelayanannya ramah, gercep banget. Makanannya enak, recommended ikan bawal asam pedas, seger banget asemnya berasa, ikannya gurih. Minumannya es jeruk kelapa nih yang kurang berasa jeruknya, deh.",2026-04-26T07:25:15.039Z,4,Google Maps,F&B,Amanaia Menteng
"Overall oke dari pelayanan, makanan, fasilitasnya. Rekomen",2026-04-26T06:04:35.524Z,5,Google Maps,F&B,Amanaia Menteng
Makanan enak..cepat.bersih,2026-04-25T13:16:27.030Z,5,Google Maps,F&B,Amanaia Menteng
