Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
The place is nice and clean. The foods are great. Very recommended!,nice clean foods great very recommended,2026-05-13T14:08:30.051Z,5,Google Maps,Positive,Lainnya,No,F&B,No
Good Place Pertahankan Kualitas,good tahan kualitas,2026-05-13T13:13:45.123Z,5,Google Maps,Positive,Bentuk,No,F&B,No
"Makanannya enak, vibesnya juga enak, trus kalo mau buat private event juga bisa karena dia ada ruangan2nya.",makan enak vibesnya enak trus kalo private event ruangan2nya,2026-05-13T00:07:49.775Z,5,Google Maps,Positive,Rasa,No,F&B,No
"Semua makanan nya enak, pelayanannya baik, tempatnya juga bagus",makan enak layan tempat bagus,2026-05-12T12:16:28.645Z,5,Google Maps,Positive,Rasa,No,F&B,No
suasananya oke..nyamuk nya yg perlu berteman,suasana oke nyamuk teman,2026-05-12T12:05:12.241Z,5,Google Maps,Positive,Lainnya,No,F&B,No
"Nice ambiance with cozy atmosphere in the middle of Jakarta City, delicious food with private room, good for meetings while having lunch or dinner",nice ambiance with cozy atmosphere in middle of jakarta city delicious with private room good for meetings while having lunch or dinner,2026-05-11T15:55:23.076Z,5,Google Maps,Positive,Lainnya,No,F&B,No
Cs ida topp ramah sekali,cs ida topp ramah,2026-05-10T13:52:04.725Z,5,Google Maps,Positive,Lainnya,No,F&B,No
"“Amanaia terbaik di Green Terrace! Makanannya enak dan pelayanannya cepat 👍🏼👍🏼 Pelayanannya juga sangat membantu, terutama Mas Riki yang sigap dan ramah. Pesanan datang dengan cepat. Sangat puas, pasti akan kembali lagi!” 👍🏼👍🏼👍🏼",amanaia baik green terrace makan enak layan cepat layan bantu mas riki sigap ramah pesan cepat puas,2026-05-10T07:25:16.052Z,5,Google Maps,Positive,Rasa,No,F&B,No
"Pesen ayam lengkuas 38k 1 potong paha kecil cenderung hambar rasanya sangat tidak worthed Pesen cumi cabe garam 128k isi lumayan rasa enak better daripada ayam Pesen es teler 48k, esnya banyak isi sedikit Ruangan outdoor banyak nyamuk, pas panggil waitress pertama diabaikan tapi panggil lagi baru disamperin Service lumayan oke, cuma rata² pada kurang senyum aja kecuali satpam sama pelayan bagian depan udh ramah.",sen ayam lengkuas 38k potong paha cenderung hambar worthed sen cumi cabe garam 128k isi lumayan enak better ayam sen es teler 48k es isi ruang outdoor nyamuk pas panggil waitress abai panggil disamperin lumayan oke rata senyum kecuali satpam layan ramah,2026-05-10T04:31:29.069Z,3,Google Maps,Neutral,Rasa,No,F&B,No
"Dining here feels like discovering a hidden gem where every detail is thoughtfully crafted. From the warm welcome at the door to the beautifully presented dishes, the experience is consistently exceptional. Guests rave about the perfectly balanced flavors, fresh high-quality ingredients, and attentive service that makes everyone feel valued without being intrusive. The atmosphere blends elegance and comfort effortlessly, making it ideal for both special occasions and relaxed dinners. Many diners describe it as the kind of place that exceeds expectations every single visit — a restaurant people eagerly recommend and can’t wait to return to.",ning here feels like discovering hidden gem where every detail thoughtfully crafted from warm welcome at door to beautifully presented dishes experience consistently exceptional guests rave about perfectly balanced flavors fresh high quality ingredients attentive that makes everyone feel valued without being intrusive atmosphere blends elegance comfort effortlessly making it ideal for both special occasions relaxed dinners many diners describe it as kind of that exceeds expectations every single visit restaurant people eagerly recommend can wait to return to,2026-05-09T12:07:30.128Z,5,Google Maps,Positive,Rasa,No,F&B,No
Good service and foods,good foods,2026-05-09T10:36:17.681Z,5,Google Maps,Positive,Lainnya,No,F&B,No
"Semua makanan yg disajikan enak, bersih, ikan2nya segar, pelayanan ramah, bener2 rekomended apalagi utk ajak keluarga dan rekan kerja kesini. Saya pasti akan berkunjung lagi",makan saji enak bersih ikan2nya segar layan ramah bener2 rekomended ajak keluarga rekan kesini kunjung,2026-05-09T05:48:53.312Z,5,Google Maps,Positive,Rasa,No,F&B,No
