Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm,Review_Text_Preprocessed
"Pelayanan oke, rasa masakan good. Dibantu oleh mas zusup susanto.",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan oke masakan good bantu mas zusup susanto
"Untuk makan oke cocok tempat bersih staf ramah,pelayan zusup susanto baik",2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan oke cocok bersih staf ramah layan zusup susanto
Makanan nya good dan kaka udin pelayanan nya baik,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan good kaka udin layan
"Pelayanan ramah, makanan enak, tempat bersih",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan bersih
"overall good, makanan enak and pelayanan nya okaayy (mas kurnia)",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,overall good makan layan okaayy mas kurnia
"Makanan enak, pelayanan bagus, tempat sangat bagus",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan bagus bagus
Kasir nya ramah,5 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,kasir ramah
"Untuk patin bakar bambunya enak sekali, suasana nyaman dan pelayanan ok",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,patin bakar bambu suasana nyaman layan ok
Makana enak tempak ok buat keluarga pelayanan mas kurnia baik,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makana tempak ok keluarga layan mas kurnia
Alhamdulillah Makanannya enak dan pelayanannya ramah,7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,alhamdulillah makan layan ramah
"Dari segi rasa, makanannya biasa saja. Dari segi pelayanan, sangat baik.",8 bulan lalu,3,Google Maps,Neutral,Rasa,No,F&B,No,segi makan segi layan
Sangat bagus,7 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,bagus
"Makanannya enak, staff nya ramah.",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan staff ramah
Niceee placee,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,niceee placee
"Tempatnya nyaman, pelayannya ramah, makanannya enak2! Worth to tryyy🥰🥰 …",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat nyaman layan ramah makan enak2 worth to tryyy
josss,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,josss
"Gurame bakar hotplatenya debest, love bgt💚 …",5 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,gurame bakar hotplatenya debest love banget
tempat ok makanan enak pelayana ramah bpk kurnia,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,ok makan pelayana ramah bpk kurnia
"Restonya nyaman, masakannya variatif dan lezaat. Bakalan kesini lagi nih",9 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,restonya nyaman masakan variatif lezaat kesini
enak semua makanannya 👍🏻 terimakasih atas pelayanan mas kurnia …,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan terimakasih layan mas kurnia
"Abang zusup susanto orang nya ramah baik dan ganteng, cocok naikan gaji nya!",3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,abang zusup susanto ramah ganteng cocok naik gaji
"Makanannya enak, fresh. Pelayanan cepat dan ramah",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan fresh layan cepat ramah
good service. rekomendasi buat rayain birthday disiniii 🤗 …,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,good service rekomendasi rayain birthday disiniii
Handoko apriadi terima kasih atas very good food nya,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,handoko apriadi terima kasih very good food
"Sangat suka, 5 bintang",9 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,suka bintang
"Pelayanan baik, ramah. Makanan enak👍 …",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan
"Pelayanannya ramah, masakannya enak2.. bumbunya kerasa.. thx kak Sarah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah masakan enak2 bumbu rasa thx kak sarah
#gita Kerja bagus,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,gita bagus
mantap semuaa dan pelayanannya maya memuaskan,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap semuaa layan maya muas
Cocok utk family baik makanan maupun atmospherenya.. udangnya manis tanda fresh..,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,cocok family makan atmospherenya udang manis tanda fresh
Makanannya selalu enak..tempat yang cozy dan nyaman..recomended place 💙💙💙 …,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan cozy nyaman recomended place
Mantap,3 hari lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap
"tempat nya enak dan makanan nya juga enak bgt,poko nya top dch.",setahun lalu,4,Google Maps,Positive,Rasa,No,F&B,No,makan banget poko top dch
Suasana nyaman tempat oke.. Pelayanan mas yusuf susanto the bestt selalu,3 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,suasana nyaman oke layan mas yusuf susanto bestt
Harga murah..rasa enak...untuk parkiran luas..tempat nyaman,5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,harga murah parkir luas nyaman
Makanan enak tempat oke pelayanan mas zusup susanto good,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan oke layan mas zusup susanto good
Rasanya mantab dan harga sesuai. Cocok untuk bawa keluarga dan anak-anak...,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantab harga sesuai cocok bawa keluarga anak anak
Makanan enak pelayanan mas fajar juga sangat membantu dan cepat,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan mas fajar bantu cepat
"Rasa makanan enak, porsinya banyak, Tempatnya nyaman. Pelayananan oke by mas yusuf",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan porsi tempat nyaman pelayananan oke by mas yusuf
