Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
Proses pesanan sangat lama,proses pesan,2026-04-19T03:54:49.504Z,1,Google Maps,Negative,Lainnya,No,F&B,No
"Tempat baru, asik, nyaman, terdapat tempat bermain anak",asik nyaman main anak,2025-04-22T09:46:13.837Z,5,Google Maps,Positive,Bentuk,No,F&B,No
@viona,viona,2025-07-22T10:56:30.429Z,5,Google Maps,Positive,Lainnya,No,F&B,No
"Nyobain marugame di tc. Klo diliat dri review dsni jelek ya, makanya aga worry jga ksni takut ga sesuai. Tapi ternyata ga seburuk itu. Semua makanan, service, sop sesuai standard. CUMA memang space di tc ini dikit dan klo deket2 pengambilan makanan sedikit mepet2 jaraknya jadi aga kurang nyaman. Apalagi tadi dateng saat weekend jadi berada bgt crowdednya di dalem. Antrian saat pengambilan makanan juga benar2 sedikit bgt kya cumaa bisa 4-5 oranh doang dan itu cuma segaris. Beda dengan store lain yang bisa antrian banyak jadi ga sampe keluar store. Tapi overall ya okelaah. Makanan jga gada yg gmna2. Better kesini pas low hour/day aja biar nyaman.",nyobain marugame tc klo liat dri review dsni jelek aga worry jga ksni takut sesuai buruk makan sop sesuai standard space tc dikit klo deket2 ambil makan mepet2 jarak aga nyaman dateng weekend banget crowdednya dalem antri ambil makan benar2 banget kya cumaa oranh doang segar beda store antri sampe store overall okelaah makan jga gada gmna2 better kesini pas low hour day biar nyaman,2025-04-18T17:50:34.404Z,4,Google Maps,Positive,Rasa,No,F&B,No
"kalo gk niat jualan. mending gk usah jualan pak yg di cari orang tuh ramah sama pelanggan udh jutek' giliran ada yg ngevlog baru pura"" ramah sama yg ngevlog rasa nasgor ny juga b aja cuman kecap sama bumbu"" doang. semoga bapk gk kaya gitu lagi deh pak ke pelanggan bpk yg lain",kalo niat jual mending jual cari tuh ramah langgan jutek gilir ngevlog pura ramah ngevlog nasgor ny cuman kecap bumbu doang moga bapk kaya gitu langgan bpk,2024-12-16T18:26:25.262Z,1,Google Maps,Negative,Rasa,No,F&B,No
"Makan malam disini sama keluarga, Gedung baru lebih modern sih pindah ke seberangnya yg lama. Makanannya enak kaya biasanya Tapi ada rambut di baked potato nya, Bilang ke waiter, diambil sama waiter dan dibungkus tissue, After that, nothing. Ga minta complimentary juga koq, udah kenyang. Cuma at least say sorry gitu. Perhatiin di kitchen ada yg berkaos hitam mirip sama chef widhinya, entah itu beliau atau bukan tapi yah percuma aja sih, Pengen rasanya komplain agak keras cuma ga enak sama tamu yg datang. Kalau management baca dan mau cek bisa lihat cctv di tgl 13 agust 2024 jam kisaran jam 20,30 Kami duduk di meja pertama pas masuk pintu utama dekat kids playground.",makan malam keluarga gedung modern pindah seberang makan enak kaya rambut baked potato bilang waiter ambil waiter bungkus tissue after that nothing complimentary koq udah kenyang at least say sorry gitu perhatiin kitchen kaos hitam chef widhinya beliau yah ken komplain keras enak tamu management baca cek cctv tgl agust kisar duduk meja pas pintu utama kids playground,2024-08-13T14:40:03.104Z,1,Google Maps,Negative,Rasa,Yes,F&B,No
"""Double U Steak by Chef Widhi: Surga Pecinta Steak di Bekasi!"" Siapa sangka, di Bekasi ada tempat makan steak seenak ini? Baru-baru ini saya coba Double U Steak by Chef Widhi, dan jujur aja, rasanya nggak mengecewakan. Dari luar, tempatnya terlihat sederhana, tapi begitu masuk ke dalam, suasananya cozy banget. Steak dengan Harga Terjangkau dan Rasa Bintang Lima Yang paling bikin saya kaget adalah harganya yang cukup terjangkau untuk ukuran steak. Tapi jangan salah, meski harganya ramah di kantong, kualitas dagingnya nggak murahan. Dagingnya empuk, bumbunya meresap, dan tingkat kematangannya pas banget. Saya pesan steak medium rare, dan hasilnya sesuai dengan yang saya inginkan. Variasi Menu yang Menarik Selain steak, mereka juga punya menu lain yang nggak kalah menarik, seperti pasta, ayam goreng, dan berbagai macam side dish. Buat yang suka ngemil, ada juga mozzarella bites dan onion rings yang bikin ketagihan. Pelayanan yang Cepat dan Ramah Pelayannya ramah dan tanggap banget. Meskipun lagi ramai, pesanan saya tetap dilayani dengan cepat. Mereka juga selalu memastikan tingkat kematangan steak sesuai dengan pesanan. Suasana yang Nyaman Suasana di restoran ini cukup nyaman, cocok buat nongkrong bareng teman atau keluarga. Meski tempatnya nggak terlalu besar, tapi nggak terasa sumpek. Kelemahan: Parkir Terbatas Satu-satunya kekurangan yang saya temukan adalah tempat parkirnya yang agak terbatas, terutama kalau lagi ramai. Tapi, petugas parkirnya sigap banget ngatur kendaraan. Kesimpulan Double U Steak by Chef Widhi adalah tempat makan steak yang wajib kamu coba kalau lagi di Bekasi. Dengan harga yang terjangkau, rasa yang enak, dan pelayanan yang ramah, tempat ini nggak akan mengecewakan. Tips: Datang lebih awal: Kalau weekend, biasanya tempat ini ramai. Jadi, sebaiknya datang lebih awal untuk menghindari antrian. Cobain menu lain: Selain steak, coba juga menu lain yang ada di sini. Dijamin nggak bakal nyesel. Bawa teman: Tempat ini cocok banget buat nongkrong bareng teman. Intinya, Double U Steak by Chef Widhi adalah surga bagi pecinta steak. Kalau kamu lagi ngidam steak yang enak dan harganya terjangkau, wajib banget cobain tempat ini! Gimana, tertarik buat cobain? #DoubleUSteak #SteakBekasi #KulinerBekasi #SteakMurah",double steak by chef widhi surga cinta steak bekas sangka bekas makan steak enak coba double steak by chef widhi jujur kecewa tempat sederhana suasana cozy banget steak harga jangkau bintang bikin kaget harga jangkau ukur steak salah harga ramah kantong kualitas daging murah daging empuk bumbu resap tingkat matang pas banget pesan steak medium rare hasil sesuai variasi menu tarik steak menu kalah tarik pasta ayam goreng side dish suka ngemil mozzarella bites onion rings bikin tagih layan cepat ramah layan ramah tanggap banget ramai pesan layan cepat tingkat matang steak sesuai pesan suasana nyaman suasana restoran nyaman cocok nongkrong bareng teman keluarga tempat sumpek lemah parkir batas satu kurang temu parkir batas ramai tugas parkir sigap banget ngatur kendara simpul double steak by chef widhi makan steak wajib coba bekas harga jangkau enak layan ramah kecewa tips weekend ramai hindar antri cobain menu steak coba menu jamin nyesel bawa teman cocok banget nongkrong bareng teman inti double steak by chef widhi surga cinta steak ngidam steak enak harga jangkau wajib banget cobain gimana tarik cobain doubleusteak steakbekasi kulinerbekasi steakmurah,2025-01-25T17:33:47.407Z,5,Google Maps,Positive,Rasa,No,F&B,No
#viona,viona,2025-07-28T03:41:52.927Z,5,Google Maps,Positive,Lainnya,No,F&B,No
"Ga paham kita kan bukan pelanggan lama ya. Wajar dong kalau nanya. Ceritanya saya mau nambah telur dadar. Biasa di tempat manapun kan tinggal ngmg aja ya. Saya ngng ama bapaknya. Bapaknya ngulang2 pertanyaan ""HAH? APA? HAH??? "" Literally sambil melotot dan nada ngebentak. Padahal posisi saat saya ngmg sepi, ga ada bising apapun. Semoga emang bapaknya ada masalah pendengaran ya. Bukan krn males jawab dan menganggap saya pembeli bodoh. Tidak ada jawaban yg saya Terima. Dia minta saya ngmg sama si ibu. Berharap ibu nya lbh baik dr si bapak ternyata lebih buruk ""Ya bawa kesini lah kak piringnya kl mau nambah telur. "" Bu mohon maap. Saya makan kaki lima bukan yg pertama kali. Biasanya kl nambah menu pake piring baru. Toh semisal harus pake piring lama bisa dong ngmgnya baik2. Ibu dan bapak kan jg punya anak. Kalo anaknya digituin juga gimana krn kelakuan kalian? Gak selamanya bapak sama ibu posisi yg menawarkan jasa. Gak usah sombong dan songong gt. Semoga Allah bales rasa sakit hati saya ini ke bapak dan ibu. Saya bayar kok pak. Ga minta. Gak ngemis. Pembeli adalah raja ga berlaku disini. FYI saya kerja bagian jual beli juga. Menghadapi pelanggan apalagi baru ga gt juga. Percuma masakan porsi banyak kl kelakuan yg jual begitu.",paham langgan wajar nanya cerita nambah telur dadar mana tinggal ngmg ngng ama bapak bapak ngulang2 hah hah literally melotot nada ngebentak posisi ngmg sepi bising apa moga emang bapak dengar males anggap beli bodoh terima ngmg si harap lbh dr si buruk bawa kesini kak piring kl nambah telur bu maap makan kaki kl nambah menu pake piring pake piring ngmgnya baik2 anak kalo anak digituin gimana laku posisi tawar jasa sombong songong gt moga allah bales sakit hati bayar ngemis beli raja laku fyi jual beli hadap langgan gt masakan porsi kl laku jual,2024-05-26T17:29:36.695Z,1,Google Maps,Negative,Rasa,Yes,F&B,No
"Tidak untuk kaum mendang-mending, harga tidak masuk akal untuk makanan. Tapi untuk suasana oke",kaum dang mending harga akal makan suasana oke,2025-07-14T02:57:11.224Z,1,Google Maps,Negative,Harga,No,F&B,No
"Minum kopsus, ga enakk banget. Harga rp15rb jadi terasa sangat mahal dibanding rasa. Kentang goreng cuma sauprit harga 20rb, ga rela lah.. Tapi kalau mau foto2 doang ya bolehlah singgah, krn warung ini termasuk warung perdana yg membuat cafe unik di panatapan. Tp kalau makanan minuman, ga rekomended.. jauhhlah.",minum kopsus enakk banget harga rp15rb mahal banding kentang goreng sauprit harga 20rb rela foto2 doang singgah warung warung perdana cafe unik panatapan makan minum rekomended jauhhlah,2019-06-28T09:24:16.054Z,2,Google Maps,Negative,Rasa,No,F&B,No
"Rasa dan harga tidak sesuai, saya pernah menemukan tempat yg sama dan yg memiliki rasa yg lebih baik",harga sesuai temu milik,2018-12-25T13:12:48.978Z,1,Google Maps,Negative,Rasa,Yes,F&B,No
"Good food, ambience is also good. Children can play in the Saung",good ambience also good children can play in saung,2026-05-04T03:24:23.233Z,5,Google Maps,Positive,Lainnya,No,F&B,No
Cs 5,cs,2026-02-06T03:50:03.205Z,5,Google Maps,Positive,Lainnya,No,F&B,No
enak banget #bayu,enak banget bayu,2025-08-26T12:30:28.113Z,5,Google Maps,Positive,Rasa,No,F&B,No
"Good food, but no local cuisine",good no local cuisine,2019-10-10T13:14:01.330Z,3,Google Maps,Neutral,Lainnya,No,F&B,No
"Makanan nya b aja mending resto lain di smb banyak yg lebih oke Es coklat bonus laler ijo, pelayanann nya jutek tau si capek karna ramee tp yauda cukup sekali thankyuuuu",makan mending resto smb oke es coklat bonus laler ijo pelayanann jutek tau si capek ramee yauda thankyuuuu,2026-03-22T16:33:01.411Z,2,Google Maps,Negative,Lainnya,No,F&B,No
"Well, sorry to say, Udon disini sangat lembek sekali, daging sedikit tidak sesuai takaran sendoknya, menu tidak sekomplit supermal lippo, telur omega tidak ada.",well sorry to say udon lembek daging sesuai takar sendok menu sekomplit supermal lippo telur omega,2022-06-10T09:12:08.973Z,2,Google Maps,Negative,Lainnya,Yes,F&B,No
Fantastic Sundanese food in the middle of Jakarta. One of the best restaurants I’ve ever been to. The Aji fish is next level.,fantastic sundanese in middle of jakarta one of best restaurants ve ever been to aji fish next level,2026-04-09T14:27:01.822Z,5,Google Maps,Positive,Lainnya,No,F&B,No
"Nasi goreng cuman rasa kecap,.penjual judes dan tidak ramah gak worth it makan disini",nasi goreng cuman kecap jual judes ramah worth it makan,2024-12-16T15:34:59.614Z,1,Google Maps,Negative,Rasa,No,F&B,No
"Bad bgt pelayanan nya, ga bakal mau balik lg ke marugame udon ini wkwk, very very very bad pelayanan nya, udah jam 17.17 mau nunggu buka puasa disitu aja gaa boleh di usir suruh pergi nnti balik lg wkwk, udh ijin dl pdhl sebelum duduk mau nunggu disitu, emng nya cuma 1 tempat makan yg ada di mall ini apa, marugame udon sawangan Depok paling Best dehh, mau mesen langsung ga di kasih kt nya kl buat buka nnti aja pas mau magrib br pesen kl sekarang takut mekar, di suruh duduk dl tempatin supaya kebagian tempat nyaa, padahal masih jam 5 kurang, payah jauh² dr kebun jeruk ke tangcity sengaja mau makan di marugame udon ini ehhh malah di bikin ga mood sm pelayanan nya, ga bakal pernah mau makan lg di marugame udon ini.",bad banget layan lg marugame udon wkwk very very very bad layan udah nunggu buka puasa situ gaa usir suruh pergi nnti lg wkwk ijin dl pdhl duduk nunggu situ emng makan mall marugame udon sawangan depok best dehh mesen kasih kt kl buka nnti pas magrib br sen kl takut mekar suruh duduk dl tempatin bagi nyaa payah dr kebun jeruk tangcity sengaja makan marugame udon ehhh bikin mood sm layan makan lg marugame udon,2023-03-27T10:31:56.563Z,1,Google Maps,Negative,Lainnya,No,F&B,No
"Semuanya suka disini, dari suasana nya. Layanan dan makanan nya best. Tongkrongan yg pas di depok",suka suasana layan makan best tongkrong pas depok,2026-01-11T14:31:43.817Z,5,Google Maps,Positive,Lainnya,No,F&B,No
very bad,very bad,2018-08-22T08:20:12.758Z,1,Google Maps,Negative,Lainnya,No,F&B,No
Enak gurih Joss gandos👍,enak gurih joss gandos,2021-11-24T09:57:55.186Z,5,Google Maps,Positive,Rasa,No,F&B,No
"pelayanan lambat, rasa makanan biasa saja,tapi mahal pelayanannya sangat amat buruk,saat dipanggil bukannya datang malah buang muka tidak senang jalanannya sangat kecil,sangat ekstrem",layan lambat makan mahal layan buruk panggil buang muka senang jalan ekstrem,2025-04-05T08:20:25.314Z,1,Google Maps,Negative,Rasa,Yes,F&B,No
"Rasa makanan enak, tempat oke, pelayanan oke (zusup)",makan enak oke layan oke zusup,2026-02-14T13:50:44.957Z,5,Google Maps,Positive,Rasa,No,F&B,No
"Dateng pas kebetulan waiting list dulu, gak terlalu lama juga. pas masuk, langsung dilayanin gercep pula, makanan Dateng, rasanya asli enak, gak mengecewakan . Pelayanan ramah pula. Worth to buy",dateng pas waiting list pas dilayanin gercep makan dateng asli enak kecewa layan ramah worth to buy,2024-02-09T10:24:31.372Z,5,Google Maps,Positive,Rasa,No,F&B,No
Taste not so good,taste not so good,2020-02-28T13:50:33.413Z,2,Google Maps,Negative,Rasa,No,F&B,No
"Pelayanan nya lama, dan pesanan yang di kasih kurang tepat. Gak remoken pokoknya",layan pesan kasih remoken pokok,2024-12-29T06:50:51.670Z,1,Google Maps,Negative,Lainnya,No,F&B,No
"Ramah bgt pegawainya, senyum terus ramah tamah. Pas kita bilang ada satu pesenan belum kurang satu juga mohon-mohon buat nunggu. Bagus loh, ga pake nanya dulu pesenan apa yang belum keluar, aku pikir udah hafal kali ya karena begitu passionate dengan pekerjaannya. 10 menit kemudian baru memberanikan diri nanya pesenan apa yang belum keluar, ternyata pesenanku nggak ditulis 🥰 love deh",ramah banget pegawai senyum ramah tamah pas bilang sen nunggu bagus loh pake nanya sen pikir udah hafal passionate kerja berani nanya sen sen tulis love,2026-05-01T09:04:06.278Z,3,Google Maps,Neutral,Lainnya,No,F&B,No
"Ruang makannya puanas banget, pelayanan lama sekali, apalagi minuman gak datang2 padahal makanan sdh habis setengah jam. Harga termasuk mahal.",ruang makan puanas banget layan minum datang2 makan habis harga mahal,2026-04-29T04:46:00.220Z,1,Google Maps,Negative,Harga,No,F&B,No
"Tempatnya bagus, pelayanannya perlu ditingkatkan lagi, pasti lebih baik.",tempat bagus layan tingkat,2020-02-23T14:03:54.914Z,3,Google Maps,Neutral,Lainnya,No,F&B,No
"Definitely not recommended place to eat. Let me describe all the sins: - the resto told me they made a mistake for taking the orders but it took one hour to revised it and i had to come to the kitchen first. - so many flies and it was so disgusting - the staff not helping and it’s indeed such a bad service idk because of the young staffs that they got no idea about manner and how to serve the customer? - the food not that great, better find another resto around that have a greater service i - and FYI they only had few customers not that much for such a big space resto Not worth your time and money!!! 👎👎👎",definitely not recommended to eat let me describe all sins resto told me they made mistake for taking orders it took one hour to revised it had to come to kitchen first so many flies it was so disgusting staff not helping it indeed such bad idk because of young staffs that they got no idea about manner how to serve customer not that great better find another resto around that have greater fyi they only had few customers not that much for such big space resto not worth your time money,2023-12-15T09:52:10.639Z,1,Google Maps,Negative,Harga,No,F&B,No
"The place is not recommended as it says in Google with 4 stars. The ambience when it was raining smells fishy and a bit dirty. When we ordered Gurame, waiters says that it will be 5 ons but in the receipt it mention 9 ons. We were overcharged and when I complain the cashier said it was for 2 pax -_- Surely I will never come to this place again",not recommended as it says in google with stars ambience when it was raining smells fishy bit dirty when we ordered gurame waiters says that it will be ons in receipt it mention ons we were overcharged when complain cashier said it was for pax surely will never come to this again,2019-04-28T10:19:03.611Z,2,Google Maps,Negative,Lainnya,No,F&B,No
Sangat buruk orderan datang sangat lama yang di order tidak sesuai bad service and not satifiction,buruk order order sesuai bad not satifiction,2020-06-21T16:53:25.746Z,1,Google Maps,Negative,Lainnya,Yes,F&B,No
Lama + kasian abang driver pada nunggu,kasi abang driver nunggu,2025-03-08T03:18:51.340Z,1,Google Maps,Negative,Lainnya,No,F&B,No
"Dari segi rasa menurut sy ya B saja, harga msh ok sekitar 150 sd 200 rb depend on pilihan daging sapinya. Layanan bagus dan suasana vibe nya ok. Parkiran kadang susah, full mobil parkir dan terpaksa parkir pinggir jalan. Waktu2 tertentu antri nya lumayan, terutama klo weekend.",segi sy harga ok sd rb depend on pilih daging sapi layan bagus suasana vibe ok parkir kadang susah full mobil parkir paksa parkir pinggir jalan waktu2 antri lumayan klo weekend,2023-11-18T13:48:00.174Z,3,Google Maps,Neutral,Rasa,No,F&B,No
"Menu nya enak, harga standar,",menu enak harga standar,2023-05-30T05:37:21.481Z,5,Google Maps,Positive,Rasa,No,F&B,No
Banyak pilihan makanan bagi pengunjung.,pilih makan unjung,2023-04-23T14:49:39.340Z,4,Google Maps,Positive,Lainnya,No,F&B,No
aman,aman,2026-03-25T13:04:08.213Z,5,Google Maps,Positive,Lainnya,No,F&B,No
@viona,viona,2025-06-03T03:47:30.510Z,5,Google Maps,Positive,Lainnya,No,F&B,No
