Column_Name,Non_Empty_Count,Completeness_Percent,Example_Values
itemId,203787,100.0,100002528 | 100003785 | 100004132 | 100004505 | 100005037
category,203787,100.0,beli-harddisk-eksternal | beli-laptop | beli-smart-tv | jual-flash-drives | shop-televisi-digital
name,203787,100.0,Kamal U. | yofanca m. | Lazada Customer | Yosep M. | Deden
rating,203787,100.0,5 | 4 | 1 | 3 | 2
originalRating,8,0.0,1
reviewTitle,23399,11.48,ok mantaaapppp barang sesuai pesanan.. good | ada pengirimn ntb bima | Barang bagus sesuai specs | Ini cicil pake apa? | Beli cash sesuai Harga di atas
reviewContent,107029,52.52,"bagus  mantap dah sesui pesanan | Bagus, sesuai foto | okkkkk mantaaaaaaapppp ... goood | bagus sesuai | bima"
likeCount,203787,100.0,0 | 4 | 7 | 1 | 14
upVotes,203787,100.0,0 | 4 | 7 | 1 | 14
downVotes,203787,100.0,0 | 2 | 1 | 3 | 4
helpful,203787,100.0,true
relevanceScore,203787,100.0,26.51 | 22.49 | 21.5 | 20.51 | 16.01
boughtDate,196680,96.51,09 Apr 2019 | 24 Sep 2017 | 04 Apr 2018 | 22 Sep 2017 | 17 Agu 2018
clientType,203787,100.0,androidApp | mobile | mobile-app | desktop | iosApp
retrievedDate,203787,100.0,2019-10-02
