Review_Text,Review_Date,Rating_Score,Platform_Source,Business_Category,Product_Name,Raw_Category,Item_Id
bagus mantap dah sesui pesanan,09 Apr 2019,5,Lazada,Elektronik,"TOSHIBA Smart HD LED TV 32"" - 32L5650VJ Free Bracket TV - Hitam - Khusus Jabodetabek",beli-harddisk-eksternal,100002528
"Bagus, sesuai foto",24 Sep 2017,4,Lazada,Elektronik,"TOSHIBA Smart HD LED TV 32"" - 32L5650VJ Free Bracket TV - Hitam - Khusus Jabodetabek",beli-harddisk-eksternal,100002528
ok mantaaapppp barang sesuai pesanan.. good. okkkkk mantaaaaaaapppp ... goood,04 Apr 2018,5,Lazada,Elektronik,"TOSHIBA Smart HD LED TV 32"" - 32L5650VJ Free Bracket TV - Hitam - Khusus Jabodetabek",beli-harddisk-eksternal,100002528
bagus sesuai,22 Sep 2017,4,Lazada,Elektronik,"TOSHIBA Smart HD LED TV 32"" - 32L5650VJ Free Bracket TV - Hitam - Khusus Jabodetabek",beli-harddisk-eksternal,100002528
ada pengirimn ntb bima. bima,2019-10-02,1,Lazada,Elektronik,"TOSHIBA Smart HD LED TV 32"" - 32L5650VJ Free Bracket TV - Hitam - Khusus Jabodetabek",beli-harddisk-eksternal,100002528
baru 10 bulan layarnya dah bergaris,06 Apr 2017,1,Lazada,Elektronik,"TOSHIBA Full HD Smart LED TV 40"" - 40L5650VJ - Hitam - Khusus Jabodetabek",beli-harddisk-eksternal,100003785
"Barang bagus sesuai specs. Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",01 Mar 2017,5,Lazada,Elektronik,"TOSHIBA Full HD Smart LED TV 40"" - 40L5650VJ - Hitam - Khusus Jabodetabek",beli-harddisk-eksternal,100003785
"Ini cicil pake apa?. Mau tanya ini cicilnya pake apa ya,cc bkn?",2019-10-02,1,Lazada,Elektronik, Samsung 40 Inch Full HD Flat LED Digital TV 40J5000,beli-harddisk-eksternal,100004132
Beli cash sesuai Harga di atas. Apakah TV. Tsb. Suda ada anti gores..,2019-10-02,5,Lazada,Elektronik, Samsung 40 Inch Full HD Flat LED Digital TV 40J5000,beli-harddisk-eksternal,100004132
Pesanan tidak tepat waktu. Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,18 Mei 2018,1,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
