Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
bagus mantap dah sesui pesanan,09 Apr 2019,5,Lazada,Positive,Rasa,No,Elektronik,No
"Bagus, sesuai foto",24 Sep 2017,4,Lazada,Positive,Lainnya,No,Elektronik,No
ok mantaaapppp barang sesuai pesanan.. good. okkkkk mantaaaaaaapppp ... goood,04 Apr 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
bagus sesuai,22 Sep 2017,4,Lazada,Positive,Lainnya,No,Elektronik,No
ada pengirimn ntb bima. bima,2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
baru 10 bulan layarnya dah bergaris,06 Apr 2017,1,Lazada,Negative,Bentuk,No,Elektronik,No
"Barang bagus sesuai specs. Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",01 Mar 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Ini cicil pake apa?. Mau tanya ini cicilnya pake apa ya,cc bkn?",2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
Beli cash sesuai Harga di atas. Apakah TV. Tsb. Suda ada anti gores..,2019-10-02,5,Lazada,Positive,Harga,No,Elektronik,No
Pesanan tidak tepat waktu. Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,18 Mei 2018,1,Lazada,Negative,Bentuk,Yes,Elektronik,No
TV ok. Kualitas ok,02 Jun 2017,4,Lazada,Positive,Bentuk,No,Elektronik,No
"Cara mendapatkan garansi. Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
Pengiriman super lama.. tapi datang juga sich,22 Jul 2018,3,Lazada,Neutral,Lainnya,No,Elektronik,No
"Sharp HD LED TV 24"" - LC-24LE175I - Hitam. ok barang sampai dengan Baik.. smoga terus di pertahankan...",18 Apr 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
pengiriman nya laaamaaaaa,29 Jul 2018,3,Lazada,Neutral,Lainnya,No,Elektronik,No
barangnya sangat bagus. dan cepat juga. thank you lazada,10 Apr 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
Menanyakn cara ciciln. Kalau mau cicilan gmna cra nya??,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Lima Bintang. barang sudah sampai dan bagus thanks lazada,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Bagusss. Pengiriman cepat sipplahhh.......,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Sampe Sekarang masih Ok ne laptop...,02 Jan 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
Good. Pengiriman cepat.. Packaging good.. Barang oke. Thnks seller Thnks Lazada,2019-10-02,5,Lazada,Positive,Bentuk,No,Elektronik,No
"Good job. Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",11 Nov 2016,5,Lazada,Positive,Rasa,No,Elektronik,No
"TOP. Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",13 Nov 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
belum test barangnya,23 Agu 2018,4,Lazada,Positive,Lainnya,No,Elektronik,No
Cape deh!. Sudah cape2 transfer tapi pesanan ditolak,17 Jan 2018,1,Lazada,Negative,Lainnya,No,Elektronik,No
"bagus saya suka, no tipu2...terbaik emanggggggg👍",30 Des 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
harga bersahabat...kwalitas ok,06 Jul 2018,5,Lazada,Positive,Harga,No,Elektronik,No
"Lima Bintang. Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",25 Nov 2016,5,Lazada,Positive,Harga,No,Elektronik,No
Ke Gresik bisa gak ya..???. Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa gak? Klo dr info pengiriman bebas tapi takut gk sampai.. Dan tanya apa ini sdh full HD apa blm? Terima kasih,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Cilegon bisa nggak??. Pengn tivinya,2019-10-02,4,Lazada,Positive,Lainnya,No,Elektronik,No
Lima Bintang,24 Des 2016,5,Lazada,Positive,Lainnya,No,Elektronik,No
puasss. Mantapppp barang nya,2019-10-02,5,Lazada,Positive,Rasa,No,Elektronik,No
puassss. Barang mulusss mantapppppp,2019-10-02,3,Lazada,Neutral,Rasa,No,Elektronik,No
"Spesifikasi utama terdapat intel core i5. Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",2019-10-02,1,Lazada,Negative,Harga,No,Elektronik,No
"Bagus, diterima dengan aman.. Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",2019-10-02,5,Lazada,Positive,Harga,No,Elektronik,No
Bagus. Barang sampai 2 hari dengan selamat dan sesuai deskripsi,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Produk bagus. Harga sangat murah mantep banget,2019-10-02,5,Lazada,Positive,Harga,No,Elektronik,No
Entah benar atau enga. Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,2019-10-02,3,Lazada,Neutral,Harga,No,Elektronik,No
Barang udah sampai. Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
Yang bener yang mana? I5 apa i7??,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Cicilan. Klo dp1jt tanpa kartu kredit bisa gk? Brp bln pembayarannya dan sebulannya brp? -TerimaKsh,2019-10-02,4,Lazada,Positive,Harga,No,Elektronik,No
untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
"Sesuai Dengan yang tertera. Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",02 Mei 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
mantap. barang sesuai dengan gambar,20 Jun 2017,5,Lazada,Positive,Rasa,No,Elektronik,No
"Respon penjualan yg baik. HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",2019-10-02,4,Lazada,Positive,Lainnya,No,Elektronik,No
"TOP. Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",24 Okt 2017,5,Lazada,Positive,Rasa,No,Elektronik,No
Sip. Oke,14 Jun 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Kepuasan & Ketidakpuasan. Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",25 Feb 2017,5,Lazada,Positive,Bentuk,No,Elektronik,No
Bagus. Barang diterima dengan kondisi yang baik tapi packagingnya kurang,19 Des 2017,4,Lazada,Positive,Bentuk,No,Elektronik,No
"SESUIA DENGAN FOTO. Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Flashdisk ori, Packing bagus. Saya suka.Thx",15 Sep 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No
aman cepat pula,05 Sep 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
Bagus ori kok cuma hanya aja 58 gb:( klo 63 gpp hilang 1 gb,09 Sep 2019,4,Lazada,Positive,Bentuk,No,Elektronik,No
kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,28 Apr 2019,1,Lazada,Negative,Lainnya,No,Elektronik,No
"Baguss bangett kurir nya jga ramah, cakep pula wkwk. Ini 64gb tp cmn 58 sekian gb tp gpp lah yah... Pokok nya recomended deh....",04 Mar 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
produk dah sampai kemasan rapih pengiriman cepat barang bagus pembayaran cod tidak perlu diragukan lagi 👍👍,13 Mar 2019,5,Lazada,Positive,Harga,No,Elektronik,No
barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..👍,28 Feb 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
"packing tanpa bubble warp. fisik no minus. Cuma 58 GB, bukan 64. ya lumayan",07 Jul 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
barang ok .. packing Rapii .. Kurir nya Ramahh .. Puass ..,24 Jun 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
produk original mantap semoga awet,09 Jun 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
baik. sesuai ekspektasi.,04 Mar 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
👍👍👍,22 Agu 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
Barang nya oke makasih,13 Agu 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
Tumben ninja cepat pengirimannya,12 Jul 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
barang asli dan original terimakasih maju terus toko jet store,12 Jul 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
"Flashdisk nya bagus, sesuai picture, barang cepat sampai, kurir ramah",12 Mei 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
oke... mudah2an awet dan ga crash belum sempet d coba,09 Jul 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
kapasitas cumA 58 gb ajaaaaa.... huft...,04 Jul 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
katanya 64 GB nyatanya cuman 58 GB,10 Jun 2019,4,Lazada,Positive,Lainnya,No,Elektronik,No
"thks ya barang sdh sampai,smga cocok",09 Jun 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
siippp...thank lazada,02 Mar 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
udah di trima ...barang OK Moga awet...,18 Mei 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
josss tenan,09 Mei 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Ini ori, bagus tahan lama masih saya pake",29 Mar 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
kampret kaga kebaca!!,27 Mar 2019,1,Lazada,Negative,Lainnya,No,Elektronik,No
GOOD. barang bagus quick respon hari ini pesan besok sudah sampai,03 Jul 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
brang cukup bagus,03 Apr 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
Sip mantap,29 Jul 2019,5,Lazada,Positive,Rasa,No,Elektronik,No
bagus ori!,07 Jun 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
real good,26 Mar 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
bagus,11 Apr 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
good,27 Mar 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",19 Jul 2019,2,Lazada,Negative,Lainnya,No,Elektronik,No
"barang pecah dikirim, payah ni seller. barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",27 Mar 2018,1,Lazada,Negative,Bentuk,No,Elektronik,No
"Brng Utuh diterima. Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit. Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",27 Mar 2018,4,Lazada,Positive,Bentuk,No,Elektronik,No
sesuai pesanan. masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,15 Jul 2018,4,Lazada,Positive,Lainnya,No,Elektronik,No
pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...,01 Mar 2018,4,Lazada,Positive,Bentuk,No,Elektronik,No
Pengiriman. Pengiriman tidak sesuai tanggal yang tertera,01 Apr 2017,2,Lazada,Negative,Lainnya,Yes,Elektronik,No
sesuai... no tipu2,24 Mar 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
barang ok packing rapih,24 Agu 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Barangnya sampai dengan cepat, bagus, terimakasih lazada.",30 Agu 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
"tv murah. pengiriman cepat packirng rapih harga murah, free ongkir",15 Jul 2018,5,Lazada,Positive,Harga,No,Elektronik,No
mantapp. mantapp barang nya sesuai pesanan,09 Jul 2018,5,Lazada,Positive,Rasa,No,Elektronik,No
