Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
bagus mantap dah sesui pesanan,bagus bagus dah sesui pesan,09 Apr 2019,5,Lazada,Positive,Rasa,No,Elektronik,No
"Bagus, sesuai foto",bagus sesuai foto,24 Sep 2017,4,Lazada,Positive,Lainnya,No,Elektronik,No
ok mantaaapppp barang sesuai pesanan.. good. okkkkk mantaaaaaaapppp ... goood,ok mantaaapppp barang sesuai pesan good okkkkk mantaaaaaaapppp goood,04 Apr 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
bagus sesuai,bagus sesuai,22 Sep 2017,4,Lazada,Positive,Lainnya,No,Elektronik,No
ada pengirimn ntb bima. bima,pengirimn ntb bima bima,2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
baru 10 bulan layarnya dah bergaris,layar dah gar,06 Apr 2017,1,Lazada,Negative,Bentuk,No,Elektronik,No
"Barang bagus sesuai specs. Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",barang bagus sesuai specs pesan rabu sore sore sampe barang sesuai specs mantab tks lazada,01 Mar 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Ini cicil pake apa?. Mau tanya ini cicilnya pake apa ya,cc bkn?",cicil pake cicil pake cc bkn,2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
Beli cash sesuai Harga di atas. Apakah TV. Tsb. Suda ada anti gores..,beli cash sesuai harga tv tsb suda anti gores,2019-10-02,5,Lazada,Positive,Harga,No,Elektronik,No
Pesanan tidak tepat waktu. Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,pesan waktu kirim barang sesuai janji express jumat barang rabu moga barang awet,18 Mei 2018,1,Lazada,Negative,Bentuk,Yes,Elektronik,No
TV ok. Kualitas ok,tv ok kualitas ok,02 Jun 2017,4,Lazada,Positive,Bentuk,No,Elektronik,No
"Cara mendapatkan garansi. Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",garansi tv led merek sharp hitam lc 24le170i mati total bln mana hubung bantu bijak solusi so alnya garansi lazada bantu terimakasih,2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No
Pengiriman super lama.. tapi datang juga sich,kirim super sich,22 Jul 2018,3,Lazada,Neutral,Lainnya,No,Elektronik,No
"Sharp HD LED TV 24"" - LC-24LE175I - Hitam. ok barang sampai dengan Baik.. smoga terus di pertahankan...",sharp hd led tv lc 24le175i hitam ok barang smoga tahan,18 Apr 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
pengiriman nya laaamaaaaa,kirim laaamaaaaa,29 Jul 2018,3,Lazada,Neutral,Lainnya,No,Elektronik,No
barangnya sangat bagus. dan cepat juga. thank you lazada,barang bagus cepat thank you lazada,10 Apr 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
Menanyakn cara ciciln. Kalau mau cicilan gmna cra nya??,menanyakn ciciln cicil gmna cra,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Lima Bintang. barang sudah sampai dan bagus thanks lazada,bintang barang bagus terima kasih lazada,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Bagusss. Pengiriman cepat sipplahhh.......,bagusss kirim cepat sipplahhh,2019-10-02,5,Lazada,Positive,Lainnya,No,Elektronik,No
Sampe Sekarang masih Ok ne laptop...,sampe ok ne laptop,02 Jan 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
Good. Pengiriman cepat.. Packaging good.. Barang oke. Thnks seller Thnks Lazada,good kirim cepat packaging good barang oke thnks seller thnks lazada,2019-10-02,5,Lazada,Positive,Bentuk,No,Elektronik,No
