Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
BEKAS. Hdd uda ada isinya. Ternyata BEKAS. Harganya semahal beli baru. KOCAK. NGESELIN,bekas hdd uda isi bekas harga mahal beli kocak ngeselin,14 Okt 2017,1,Lazada,Negative,Harga,No,Elektronik,No
PUAAASSSSS BANGEEDDDD. untuk kesikian kalinya puas belanja di lazada barangnya sampe sesuai dengan tanggal pengiriman dan ngga mengecewakan terimakasih lazada,puaaasssss bangeedddd kesikian kali puas belanja lazada barang sampe sesuai tanggal kirim kecewa terimakasih lazada,28 Apr 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
bagus !,bagus,12 Jun 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
barang okee,barang okee,27 Mar 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Alhamdulillah tv nya cepet sampainya, barang bagus, mudah mudahan awet",alhamdulillah tv cepet sampai barang bagus mudah mudah awet,23 Mei 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
mantul donk,mantul donk,13 Jul 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Produk original, harga murmer karena beli waktu promo 11.11... Nggak nyesel deh pokoknya... Udah ngincer dari dulu jugaa",produk original harga murmer beli waktu promo nyesel pokok udah ngincer jugaa,11 Nov 2018,5,Lazada,Positive,Harga,No,Elektronik,No
baguuuuuussasssss,baguuuuuussasssss,26 Agu 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
ga bisa dipakai. ternyata ga bisa dipakai. pdhl udah beli dua..,pakai pakai pdhl udah beli,12 Jun 2018,1,Lazada,Negative,Lainnya,No,Elektronik,No
Barang sudah diterima,barang terima,09 Sep 2019,3,Lazada,Neutral,Lainnya,No,Elektronik,No
dikembalikan krn rusak,kembali rusak,02 Feb 2017,2,Lazada,Negative,Lainnya,Yes,Elektronik,No
barangya bagus. semoga awet. terus ringan banget paketnya. kyk tv murahan. tapi utk sekarag worth lah,barangya bagus moga awet ringan banget paket kyk tv murah sekarag worth,23 Agu 2018,5,Lazada,Positive,Harga,No,Elektronik,No
"Saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada..hanya keterangan saja di dusnya bahwa barang ini Original Resmi Indonesia Bergaransi ..dengan diberi nomor telpon Service Centernya.... Memory yang tersedia ternyata juga tidak sampai 2 TB tetapi 1.81 TB selisih 0.19 TB ...besar banget selisihnya..tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak...tapi tidak begitu masalah... Eksternal hardisk ini bekerja bagus, cepat dan Hadiah hardcase cukup bagus untuk melindungi barang ini dari debu dan benturan. Sayangnya saat di registrasi ke Official Webnya WD ternyata Identification Numbernya tidak dikenal..tidak valid...alias barang ini bukan asli..alias KW.. Seller responsif sayangnya tidak memberitahu asli tidaknya barang ini. Pengiriman terhitung cepat..dalam 2 hari barang sudah di tangan.. Mudah2an saja barang ini awet wslaupun tdk original",produk genuine hologram kartu garansi terang dus barang original resmi indonesia garansi nomor telpon centernya memory sedia tb tb selisih tb banget selisih pakai sistem eksternal hardisk bagus cepat hadiah hardcase bagus lindung barang debu bentur sayang registrasi official webnya wd identification numbernya kenal valid alias barang asli alias kw seller responsif sayang memberitahu asli tidak barang kirim hitung cepat barang tangan mudah2an barang awet wslaupun original,25 Sep 2019,3,Lazada,Neutral,Bentuk,No,Elektronik,No
Barang sesuai gambar..cuma kalau wifi putus..tiba2 keluar sendiri dari browser dll..,barang sesuai gambar wifi putus tiba2 browser dll,09 Sep 2019,4,Lazada,Positive,Bentuk,No,Elektronik,No
mantap jiwa puas brlinya karna murah,bagus jiwa puas brlinya murah,15 Apr 2019,5,Lazada,Positive,Rasa,No,Elektronik,No
CUKUP BERKESAN. Produk sesuai dengan diinginkan,kesan produk sesuai,21 Feb 2018,3,Lazada,Neutral,Lainnya,No,Elektronik,No
ya bagus ey murah,bagus ey murah,09 Jul 2019,5,Lazada,Positive,Harga,No,Elektronik,No
Menyesal. Setelah barang datang bukannya TV malah Papan tulis . Hadeeeh,sesal barang tv papan tulis hadeeeh,2019-10-02,2,Lazada,Negative,Lainnya,No,Elektronik,No
"uda 2 x beli produk dan d toko ini.. aslii kerennn bgt, pengiriman cepat, kurir nya ramahhh.. moga TV nya awettt yaaa",uda beli produk toko asli kerennn banget kirim cepat kurir ramahhh moga tv awettt yaaa,29 Jun 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
OTG yang sangat praktis untuk smartphone dengan koneksi usbC,otg praktis smartphone koneksi usbc,04 Jan 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Respon Bagus. kualitas biasa saja.. harga standar, respon dan pengiriman baik.. GOOD job",respon bagus kualitas harga standar respon kirim good job,13 Des 2017,4,Lazada,Positive,Harga,No,Elektronik,No
not too long,not too long,11 Jan 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No
lumayan lah utk harga segitu,lumayan harga segitu,29 Apr 2018,3,Lazada,Neutral,Harga,No,Elektronik,No
"Good product, walaupun kapasitasnya hanya 29,2GB tapi masih bisa di tolerir...👍👍👍",good product kapasitas 2gb tolerir,10 Feb 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Barang sudah sampai pas di coba aneh ga bisa nyimpan, sy beli hanya ingin membuktikan saja, ternyata barang nya jelek",barang pas coba aneh nyimpan sy beli bukti barang jelek,07 Mei 2019,1,Lazada,Negative,Lainnya,No,Elektronik,No
"Nice. Bagus, sesuai ama gambar. Ga nyesel beli.",nice bagus sesuai ama gambar nyesel beli,10 Okt 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No
"Allhamdulillah barang sudah sampe, kurirnya cepat dan ramah, sudah di test OK,, semiga awet",allhamdulillah barang sampe kurir cepat ramah test ok semiga awet,27 Jan 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No
pangiriman mantap dqn produk memuaskan.. smg awet ya.. tinggal nunggu free hooq voucher.. lama ya..,pangiriman bagus dqn produk muas smg awet tinggal nunggu free hooq voucher,10 Des 2018,4,Lazada,Positive,Rasa,No,Elektronik,No
"parah ga bisa nyimpan lagu banyak banyak,katanya 32 GB",parah nyimpan lagu gb,15 Jun 2019,1,Lazada,Negative,Lainnya,Yes,Elektronik,No
Barang sesuai. Cuma blm dicobain. Lama pengirimannya! padahal barang sudah sampai dikota yg dituju!,barang sesuai dicobain kirim barang kota tuju,12 Des 2018,3,Lazada,Neutral,Lainnya,No,Elektronik,No
