Review_Text,Review_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
kualitas barangnya mengecewakan,kualitas barang kecewa,unknown,1,Tokopedia,Negative,Bentuk,Yes,Perabotan,No
saya sungguh kecewa dg membeli masker produk ini krn isinya yh seharusnya dos pieces ternyata ada pieces masker tdk ada talinya shg tdk bisa digunakan sebagaimana mestinya mohon perhatiannya tks,sungguh kecewa dg beli masker produk isi yh dos pieces pieces masker tali shg mesti perhati tks,unknown,2,Tokopedia,Negative,Lainnya,Yes,Kesehatan & Kecantikan,Yes
terima kasih pesanan sesuai dan bagus maaf inner nya sdh di pake si kakak,terima kasih pesan sesuai bagus maaf inner pake si kakak,unknown,4,Tokopedia,Positive,Bentuk,No,Fashion,No
klaim produknya tdk mengkerut trnyata baru bbrp hari dipake korsetnya mengkerut bikin ga nyaman sadd,klaim produk kerut trnyata bbrp dipake korset kerut bikin nyaman sadd,unknown,2,Tokopedia,Negative,Bentuk,No,Ibu & Bayi,No
pas mantab sebelumnya sempat keabisan stock tapi akhirnya skrg kebagian juga,pas mantab abis stock skrg bagi,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
barang tdk bisa dipakai suara tdk keluar sangat mengecewakan,barang pakai suara kecewa,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
review barang kualitas bahannya cukup bagus tapi gak empuk gmn jg sih kalo duduk lama pantat pun masih terasa panas review penjual pesan sabtu siang hr rabu dpnnya baru dikirim pdhal butuh cepat buat yg lagi sakit maaf ya gak bs kasih bintang,review barang kualitas bahan bagus empuk gmn duduk pantat panas review jual pesan sabtu siang hr rabu dpnnya kirim pdhal butuh cepat sakit maaf bs kasih bintang,unknown,2,Tokopedia,Negative,Bentuk,No,Perabotan,Yes
mantaab p00000l udh langganan keluarga sangat syukaaaa trims,mantaab p00000l langgan keluarga syukaaaa trims,unknown,5,Tokopedia,Positive,Lainnya,No,F&B,No
produk mengecewakan kecewa awalnya sih oke tpi setelah seminggu pemakaian entah kenapa g bisa di cas sudh saya coba berkali kli tetep g bisa di cas saya sangat kecewa dengan produk ini kwalitasnya kurang bagus,produk kecewa kecewa oke minggu pakai cas sudh coba kali kli tetep cas kecewa produk kwalitasnya bagus,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
kirim cepat barang ori paking rapi,kirim cepat barang original paking rapi,unknown,5,Tokopedia,Positive,Bentuk,No,Kesehatan & Kecantikan,No
mantap gan produk original barang sesuai deskripsi produk berfungsi dengan baik,mantap gan produk original barang sesuai deskripsi produk fungsi,unknown,5,Tokopedia,Positive,Bentuk,No,Perabotan,No
barangnya oke dan harganya jg terjangkau packingnya rapi bgt jempolan sellernya,barang oke harga jangkau packingnya rapi jempol sellernya,unknown,5,Tokopedia,Positive,Harga,No,Kesehatan & Kecantikan,No
mantap dettol packaging super aman pakai air bag prosesnya cepat wanginya enak,mantap dettol packaging super aman pakai air bag proses cepat wangi,unknown,5,Tokopedia,Positive,Rasa,No,Perabotan,No
respon cepet ramah solutif kerjaan cepet banget harga kompetitif kerenn recommended seller,respon cepet ramah solutif kerja cepet harga kompetitif kerenn recommended seller,unknown,5,Tokopedia,Positive,Harga,No,Perlengkapan Kantor,No
puas pengiriman cepat barang datang tanpa cacat pengemasan bagus trmksh,puas kirim cepat barang cacat kemas bagus trmksh,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
bagus bajunya buat sehari hari anak,bagus baju hari anak,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
airo ini punya customer service yang super duper bagus kapanpun saya punya pertanyaan mereka selalu jawab dengan okey produknya pun bagus puas banget love airo,airo customer service super duper bagus okey produk bagus puas love airo,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barang rekondisi lain kali jualan yang jujur bos jangan barang bekas direkondisi,barang rekondisi jual jujur bos barang bekas direkondisi,unknown,1,Tokopedia,Negative,Lainnya,No,Perabotan,No
klo mau kirim barang sebaiknya di cek dulu gan saya beli yg satu mati untuk saya harga segitu lumayan,kirim barang cek gan beli mati harga segitu lumayan,unknown,3,Tokopedia,Neutral,Harga,No,Fashion,No
barang datang dalam keadaan terlipat gak bisa sama sekali dipakai,barang lipat pakai,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
pengemasan cepet banget dan sangat baik pengiriman jgn diragukan cepet bgt pake instant bener bener instan jam pesen sampe mantul produk kualitas bagus,kemas cepet kirim jgn ragu cepet pake instant bener bener instan jam sen mantap produk kualitas bagus,unknown,5,Tokopedia,Positive,Bentuk,No,Perabotan,No
mksshhh pelangganku syuukkkaaaa,mksshhh langgan syuukkkaaaa,unknown,5,Tokopedia,Positive,Lainnya,No,Lainnya,No
barang tidak d kirim komplain tidak d respon,barang kirim komplain respon,unknown,1,Tokopedia,Negative,Lainnya,Yes,Kesehatan & Kecantikan,No
mudah copot tidak lengket di kaca mobil atau spion,mudah copot lengket kaca mobil spion,unknown,1,Tokopedia,Negative,Bentuk,No,Otomotif,No
penjual apaan barang gak diterima diajukan pengembalian dana malah hr ini dapat notif sdh selesai dan dana akan diteruskan ke penjual woi balikan dana saya,jual barang terima aju kembali dana hr notif selesai dana terus jual woi balik dana,unknown,1,Tokopedia,Negative,Lainnya,No,Kesehatan & Kecantikan,No
pas untuk ukuran kaki juga bahan sesuai dengan harga dan cukup tebal,pas ukur kaki bahan sesuai harga tebal,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
tripodnya terasa sturdy cukup ringan tapi tanpa manual seller fast response,tripod sturdy ringan manual seller fast response,unknown,4,Tokopedia,Positive,Rasa,No,Elektronik,No
barang mantap anak saya suka dah gitu pengiriman cepat banget hari ini pesan besok dah sampe,barang mantap anak suka dah gitu kirim cepat pesan besok dah,unknown,5,Tokopedia,Positive,Rasa,No,Hobi & Hiburan,No
desain ergonomis gampang dipakai,desain ergonomis gampang pakai,unknown,5,Tokopedia,Positive,Bentuk,No,Ibu & Bayi,No
tiba2 selesai padahal gak ada barang yang datang sama sekali penipu ya,tiba2 selesai barang tipu,unknown,1,Tokopedia,Negative,Bentuk,No,Hobi & Hiburan,No
beratnya tidak sesuai katanya dirubah kok ga ada perbaikan dalam hal berat produk dan packing pdhl sy mau blanja banyak tapi mhl diongkir pdhl berat riil nya jauuh dari estimasi,berat sesuai rubah baik berat produk packing pdhl blanja mhl diongkir pdhl berat riil jauuh estimasi,unknown,1,Tokopedia,Negative,Bentuk,Yes,F&B,No
saya kecewa banget sih pesan maroon hijau army sama mint tapi tu semua dganti sama warna lain tanpa konfirmasi semoga bisa lebih teliti n komunikasi dg pembeli jika barang tidak tersedia,kecewa pesan maroon hijau army mint tu dganti warna konfirmasi moga teliti komunikasi dg beli barang sedia,unknown,3,Tokopedia,Neutral,Bentuk,No,Fashion,No
trimaksih daster sudah sampai dapat grtisan dari toped jdi gak perlu komplain aneh2 nmnya grtisan yg datang emang gak sesuai sih sma gambar bagus bahannya tebel trnyata gak nerawang ringan dipakai tidak menerawang ukuran sesuai warnanya bagus bahan menyerap keringat jahitannya rapi,trimaksih daster grtisan toped jdi komplain aneh2 nmnya grtisan sesuai sma gambar bagus bahan tebel trnyata nerawang ringan pakai terawang ukur sesuai warna bagus bahan serap keringat jahit rapi,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
green screen sudah nyampe bahan cukup tebal mirip ntah sama dengan positiveie bag yg bagus warna hijau cerah oke lah buat green screen,green screen bahan tebal ntah positiveie bag bagus warna hijau cerah oke green screen,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
ketahanan wangi tidak seperti claim yg di sebutkan 12jam,tahan wangi claim sebut 12jam,unknown,1,Tokopedia,Negative,Rasa,No,Kesehatan & Kecantikan,No
mantaapp ringan rasanyaa mantul produk dalam negeri,mantaapp ringan rasanyaa mantap produk negeri,unknown,5,Tokopedia,Positive,Rasa,No,Lainnya,No
g dikirim sm bubble wrap t t,kirim sm bubble wrap,unknown,1,Tokopedia,Negative,Lainnya,No,Lainnya,No
bahan ny sih bagus cm sayang pesen nya datang ny d chat ke seller ny jg d d baca boro boro ada penjelasan seller g asiiiik g bs d ajak komunikasi,bahan bagus cm sayang sen chat seller baca boro boro jelas seller asiiiik bs ajak komunikasi,unknown,3,Tokopedia,Neutral,Bentuk,No,Fashion,No
mantap sesuai cepat sampai kualitas cakep juga,mantap sesuai cepat kualitas cakep,unknown,5,Tokopedia,Positive,Bentuk,No,Perabotan,No
maennanya macet g bisa nutup mulutnya kecewa,maennanya macet nutup mulut kecewa,unknown,1,Tokopedia,Negative,Lainnya,Yes,Hobi & Hiburan,Yes
bagus cepat packaging aman,bagus cepat packaging aman,unknown,5,Tokopedia,Positive,Bentuk,No,Kerajinan & Pesta,No
seluruh barang diterima dalam keadaan baik dan sesuai deskripsi terima kasih,barang terima sesuai deskripsi terima kasih,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
